sku,store,soh,qoo,ads,lead_time,unit_price
MX-0004,Noida,157,0,3.7,21,3999
MX-0004,Gurugram,73,-7,5.5,5,3999
MX-0004,Coimbatore,218,0,6.4,21,3999
MX-0004,Madurai,167,0,5.4,10,3999
MX-0004,Guwahati,7,0,0.9,14,3999
MX-0004,Mumbai City Mall,96,0,3.5,10,3999
MX-0004,Delhi City Mall,34,0,6.3,,3999
MX-0004,Bengaluru City Mall,33,0,2.1,10,3999
MX-0004,Hyderabad City Mall,167,0,7.2,21,3999
MX-0004,Chennai City Mall,29.5,23,1.3,14,3999
MX-0004,Kolkata City Mall,14,7,0.6,14,3999
MX-0004,Pune City Mall,13,3,0.6,7,3999
MX-0004,Ahmedabad City Mall,37,0,0.8,21,3999
MX-0004,Jaipur City Mall, 125 ,52,5.3,10,3999
MX-0004,Lucknow City Mall,1,0,4.5,7,3999
MX-0004,Surat City Mall,33,18,3.0,7,3999
MX-0004,Indore City Mall,1,0,1.4,5,3999
MX-0004,Nagpur City Mall,124,0,7.3,10,3999
MX-0004,Kochi City Mall,53,105,6.0,14,3999
MX-0004,Chandigarh City Mall, 62 ,31,2.3,14,3999
MX-0004,Bhopal City Mall,9,10,0.9,21,3999
MX-0004,Patna City Mall, 70 ,0,1.1,21 days,3999
MX-0004,Vadodara City Mall,46,0,4.3,14,3999
MX-0004,Ludhiana City Mall,4,4,0.4,10,3999
MX-0004,Agra City Mall,92,0,2.6,21,3999
MX-0005,Mumbai,15,0,2.0,7,499
MX-0005,Delhi,9,7,0.3,21,499
MX-0005,Bengaluru,41,0,7.0,5,499
MX-0005,Hyderabad,163,0,6.5,21,499
MX-0005,Chennai,5,0,1.4,5,499
MX-0005,Kolkata,124,0,5.0,14,N/A
MX-0005,Pune,67,0,,7,499
MX-0005,Ahmedabad,49,0,2.7,21,499
MX-0005,Jaipur,365,0,6.7,21,499
MX-0005,Lucknow,133,0,4.4,10,499
MX-0005,Surat,1,4,1.5,5,499
MX-0005,Indore,174,41,5.2,14,499
MX-0005,Nagpur,0,0,6.3,5,499
MX-0005,Kochi,73,0,7.1,10,499
MX-0005,Chandigarh,19,0,0.8,21,499
MX-0005,Bhopal,17,0,3.6,7,499
MX-0005,Patna,94,0,7.7,14,499
MX-0005,Vadodara,41,0,2.1,21,499
MX-0005,Ludhiana,0,0,0.6,5,499
MX-0005,Agra,28,0,5.4,7,499
MX-0005,Nashik,48,52,5.8,7,499
MX-0005,Meerut,(9),0,3.7,14,499
MX-0005,Rajkot,39,51,4.0,21,499
MX-0005,Varanasi,36,0,3.6,10,499
MX-0005,Amritsar,4,0,2.4,10,499
MX-0005,Noida,47,27,7.0,5,499
MX-0005,Gurugram, 11 ,0,0.4,14,499
MX-0005,Coimbatore,17,0,0.7,14,499
MX-0005,Madurai,112,0,5.7,10,499
MX-0005,Guwahati,19,0,1.5,7,499
MX-0005,Mumbai City Mall,67,0,4.4,21,499
MX-0005,Delhi City Mall,41,0,6.7,5,499
MX-0005,Bengaluru City Mall,41,0,3.0,10,499
MX-0005,Hyderabad City Mall,19,0,3.2,21,499
MX-0005,Chennai City Mall,12,0,0.2,21,499
MX-0005,Kolkata City Mall,124,83,7.5,14,499
MX-0005,Pune City Mall,44,0,5.0,14,499
MX-0005,Ahmedabad City Mall,56.5,0,4.8,7,499
MX-0005,Jaipur City Mall, 20 ,0,3.7,14,499
MX-0005,Lucknow City Mall,3,0,7.9,21,499
MX-0005,Surat City Mall,48,0,5.3,5,499
MX-0005,Indore City Mall,30,0,1.9,7,499
MX-0005,Indore City Mall,30,0,1.9,7,499
MX-0005,Nagpur City Mall,0,1,0.5,5,499
MX-0005,Kochi City Mall,85,0,5.6,7,499
MX-0005,Chandigarh City Mall,26,0,1.1,10,499
MX-0005,Bhopal City Mall,37,0,4.9,5,499
MX-0005,Patna City Mall,14,0,1.1,14,499
MX-0005,Vadodara City Mall,134,-1,7.2,14,499
MX-0005,Ludhiana City Mall, 20 ,0,1.5,7,499
MX-0005,Agra City Mall,318,0,6.4,21,499
MX-0006,Mumbai,12,0,4.8,5,499
,Delhi,13,0,0.8,7,499
MX-0006,Bengaluru,120,0,5.5,7,499
MX-0006,Hyderabad,33,0,1.4,10,499
MX-0006,Chennai,9,16,3.3,,499
MX-0006,Kolkata,83,0,2.1,14,499
MX-0006,Pune, 154 ,116,5.5,21,499
MX-0006,Ahmedabad, 107 ,0,6.4,7,499
MX-0006,Jaipur,83,0,2.7,10,499
MX-0006,Lucknow,49,21,3.8,5,499
MX-0006,Surat,122,0,7.4,14,499
MX-0006,Indore,104,0,6.4,7,499
MX-0006,Nagpur,179,0,5.6,14,499
MX-0006,Kochi,66,0,2.1,10,499
MX-0006,Chandigarh,46,17,6.0,5,N/A
MX-0006,Bhopal,268,39,6.0,14,499
MX-0006,Patna,53,0,3.7,5,499
MX-0006,Vadodara,64,0,3.7,7,499
MX-0006,Ludhiana,91,0,3.2,10,499
MX-0006,Agra,41,0,5.4,7,499
MX-0006,Nashik, 18 ,0,7.3,10,499
MX-0006,Meerut,146,39,2.3,21,499
MX-0006,Rajkot,111,0,4.7,10,499
MX-0006,Varanasi,2,2,0.6,5,499
MX-0006,Amritsar,444,0,6.5,21,499
MX-0006,Noida,6,0,5.8,14 days,499
MX-0006,Gurugram,60,0,6.1,14,499
MX-0006,Coimbatore,54,0,2.6,10,499
MX-0006,Madurai,10,39,3.4,14,499
MX-0006,Guwahati,25,0,2.9,14,499
MX-0006,Mumbai City Mall,170,73,6.0,10,499
MX-0006,Delhi City Mall,1,0,2.9,5,499
MX-0006,Bengaluru City Mall,42,0,2.3,21,499
MX-0006,Hyderabad City Mall,73,0,4.4,7,499
MX-0006,Chennai City Mall,16,0,4.0,5,499
MX-0006,Kolkata City Mall,51,0,7.7,21,499
MX-0006,Pune City Mall,95,0,4.5,7,499
MX-0006,Ahmedabad City Mall,43,0,6.3,21,499
MX-0006,Jaipur City Mall,55,0,4.1,5,499
MX-0006,Lucknow City Mall,76,0,,5,499
MX-0006,Surat City Mall,3.5,0,2.9,14,499
MX-0006,Indore City Mall,177,0,3.8,14,499
MX-0006,Nagpur City Mall,107,0,1.7,21,499
MX-0006,Kochi City Mall,354,135,7.7,14,499
MX-0006,Chandigarh City Mall,51,0,5.3,5,499
MX-0006,Bhopal City Mall,86,0,6.1,10,499
MX-0006,Patna City Mall,12,0,4.2,10,499
MX-0006,Vadodara City Mall,81,0,3.1,21,499
MX-0006,Ludhiana City Mall,8,0,0.6,7,499
MX-0006,Agra City Mall,38,66,5.3,21,499
MX-0007,Mumbai,34,0,2.4,10,499
MX-0007,Delhi, 46 ,9,2.2,7,499
MX-0007,Bengaluru,2,0,6.8,14,499
MX-0007,Hyderabad,48,18,2.0,14,499
MX-0007,Chennai,238,0,7.4,10,499
MX-0007,Kolkata,173,0,6.4,21,499
MX-0007,Pune,14,0,1.1,7,499
MX-0007,Ahmedabad,237,123,7.7,14,499
MX-0007,Jaipur,49,0,4.0,21,499
MX-0007,Lucknow,17,0,2.2,10,499
MX-0007,Surat,-8,0,3.4,21,499
MX-0007,Indore,103,23,7.1,7,499
MX-0007,Nagpur,5,0,3.5,7,499
MX-0007,Kochi,113,117,4.3,21,499
MX-0007,Chandigarh,42,0,1.1,14,499
MX-0007,Bhopal,76,0,1.4,21,499
MX-0007,Patna,288,73,4.2,21,499
MX-0007,Vadodara,351,0,6.1,21,499
MX-0007,Ludhiana,319,-17,6.9,14,499
MX-0007,Agra,4,0,4.0,10,499
MX-0007,Nashik,9,0,1.0,7,499
MX-0007,Meerut,367,0,5.6,21,499
MX-0007,Rajkot,14,0,3.9,7,499
MX-0007,Varanasi,185,55,7.6,10,N/A
MX-0007,Amritsar,239,0,7.7,14,499
MX-0007,Noida,83,15,2.3,14,499
MX-0007,Gurugram,64,0,5.5,7,499
MX-0007,Coimbatore,4,0,2.1,,499
MX-0007,Madurai,8,3,0.6,5,499
MX-0007,Guwahati,5,12,4.9,5,499
MX-0007,Mumbai City Mall,88,0,2.4,14,499
MX-0007,Delhi City Mall,65,0,2.2,21,499
MX-0007,Bengaluru City Mall,167,0,7.2,10,499
MX-0007,Hyderabad City Mall,218,0,5.1,21,499
MX-0007,Chennai City Mall,93,17,5.6,5,499
MX-0007,Kolkata City Mall,32,0,2.8,10,499
MX-0007,Pune City Mall,18,3,1.3,5,499
MX-0007,Ahmedabad City Mall,74,0,6.1,10,499
MX-0007,Jaipur City Mall,89,0,6.3,14,499
MX-0007,Jaipur City Mall,89,0,6.3,14,499
MX-0007,Lucknow City Mall,11,0,1.6,5,499
MX-0007,Surat City Mall,46,0,4.1,5,499
MX-0007,Indore City Mall,164,0,5.7,14,499
MX-0007,Nagpur City Mall,122,0,1.8,21,499
MX-0007,Kochi City Mall,48.5,0,6.4,14,499
MX-0007,Chandigarh City Mall,55,0,4.5,5,499
MX-0007,Bhopal City Mall,88,0,6.5,5,499
MX-0007,Patna City Mall, 24 ,0,1.9,14,499
MX-0007,Vadodara City Mall,285,0,6.9,21,499
MX-0007,Ludhiana City Mall,5,0,7.8,21,499
MX-0007,Agra City Mall,25,0,3.3,10,499
MX-0008,Mumbai,49,146,5.1,21,499
MX-0008,Delhi,58,20,2.7,7,499
,Bengaluru,65,0,5.6,5,499
MX-0008,Hyderabad,67,13,2.9,7,499
MX-0008,Chennai,20,0,3.0,7 days,499
MX-0008,Kolkata,209,0,5.6,14,499
MX-0008,Pune,68,0,6.0,21,499
MX-0008,Ahmedabad,7,13,2.4,5,499
MX-0008,Jaipur,41,0,3.7,14,499
MX-0008,Lucknow,89,20,6.1,5,499
MX-0008,Surat,58,16,1.4,14,499
MX-0008,Indore,63,17,2.8,14,499
MX-0008,Nagpur,215,149,5.1,21,499
MX-0008,Kochi,534,0,7.7,21,499
MX-0008,Chandigarh,78,28,5.2,7,499
MX-0008,Bhopal,224,0,4.4,21,499
MX-0008,Patna,35,0,8.0,14,499
MX-0008,Vadodara,40,40,6.9,5,499
MX-0008,Ludhiana,73,0,7.6,10,499
MX-0008,Agra,90,0,4.3,7,499
MX-0008,Nashik,20,0,0.4,21,499
MX-0008,Meerut,172,0,7.7,7,499
MX-0008,Rajkot, 340 ,0,,14,499
MX-0008,Varanasi,19,0,3.4,7,499
MX-0008,Amritsar,19,0,1.4,5,499
MX-0008,Noida,31,0,1.7,10,499
MX-0008,Gurugram,241,154,5.5,21,499
MX-0008,Coimbatore,87, 46 ,7.0,5,499
MX-0008,Madurai,4,0,5.6,5,499
MX-0008,Guwahati,29,0,3.3,5,499
MX-0008,Mumbai City Mall,135,0,6.5,7,499
MX-0008,Delhi City Mall,54,0,4.4,10,499
MX-0008,Bengaluru City Mall,9,0,0.4,14,N/A
MX-0008,Hyderabad City Mall, 90 ,0,6.9,5,499
MX-0008,Chennai City Mall,48,0,3.2,14,499
MX-0008,Kolkata City Mall,36,0,4.7,10,499
MX-0008,Pune City Mall,20,8,2.1,5,499
MX-0008,Ahmedabad City Mall,200,0,3.1,21,499
MX-0008,Jaipur City Mall,76,42,7.3,5,499
MX-0008,Lucknow City Mall,15,-14,1.1,21,499
MX-0008,Surat City Mall,72,0,4.7,5,499
MX-0008,Indore City Mall,54,50,5.6,14,499
MX-0008,Nagpur City Mall,45,0,4.3,5,499
MX-0008,Kochi City Mall,100,0,3.1,10,499
MX-0008,Chandigarh City Mall,17,0,2.8,21,499
MX-0008,Bhopal City Mall,99,0,3.4,14,499
MX-0008,Patna City Mall,16.5,33,5.0,5,499
MX-0008,Vadodara City Mall,42,0,5.4,5,499
MX-0008,Ludhiana City Mall,20,0,3.1,5,499
MX-0008,Agra City Mall,(2),0,6.3,14,499
MX-0009,Mumbai,5,0,1.0,,199
MX-0009,Delhi,61,0,5.9,5,199
MX-0009,Bengaluru,64,0,5.2,7,199
MX-0009,Hyderabad,0,0,3.2,10,199
MX-0009,Chennai,4,31,7.7,10,199
MX-0009,Kolkata,11,0,2.4,10,199
MX-0009,Pune,19,0,1.5,5,199
MX-0009,Ahmedabad,165,0,6.7,10,199
MX-0009,Jaipur,2,0,1.2,7,199
MX-0009,Lucknow,450,0,6.9,21,199
MX-0009,Surat,108,0,4.3,21,199
MX-0009,Indore,64,0,3.1,21,199
MX-0009,Nagpur, 18 ,0,0.7,21,199
MX-0009,Kochi,81,0,5.8,7,199
MX-0009,Chandigarh, 220 ,95,5.6,14,199
MX-0009,Bhopal,70,30,2.8,14,199
MX-0009,Patna,38,8,3.7,5,199
MX-0009,Vadodara,133,0,5.7,10,199
MX-0009,Ludhiana,262,0,4.6,21,199
MX-0009,Agra,26,0,3.6,7,199
MX-0009,Nashik,84,0,6.7,7,199
MX-0009,Meerut, 17 ,0,6.4,5,199
MX-0009,Rajkot,172,44,7.0,10,199
MX-0009,Varanasi,1,1,0.5,5,199
MX-0009,Amritsar,116,0,3.8,10,199
MX-0009,Noida, 25 ,21,3.3,5,199
MX-0009,Gurugram, 28 ,0,7.9,21,199
MX-0009,Coimbatore,16,0,3.2,7,199
MX-0009,Madurai,17,0,0.7,10,199
MX-0009,Guwahati,62,0,3.1,10,199
MX-0009,Mumbai City Mall,15,0,7.7,5,199
MX-0009,Delhi City Mall,36,0,2.6,21,199
MX-0009,Bengaluru City Mall,6,0,3.8,5,199
MX-0009,Hyderabad City Mall,220,0,4.8,21 days,199
MX-0009,Chennai City Mall,4,29,3.4,10,199
MX-0009,Kolkata City Mall,16,0,6.3,5,199
MX-0009,Kolkata City Mall,16,0,6.3,5,199
MX-0009,Pune City Mall,89,0,2.4,14,199
MX-0009,Ahmedabad City Mall,60,0,3.7,7,199
MX-0009,Jaipur City Mall,20,12,1.2,21,199
MX-0009,Lucknow City Mall,107,39,6.1,14,199
MX-0009,Surat City Mall,69,0,7.8,14,199
MX-0009,Indore City Mall,13,0,1.3,5,N/A
MX-0009,Nagpur City Mall,28,0,5.4,21,199
MX-0009,Kochi City Mall,94,0,7.0,10,199
MX-0009,Chandigarh City Mall,2,0,0.6,10,199
MX-0009,Bhopal City Mall,75,15,1.6,14,199
MX-0009,Patna City Mall,90,0,1.9,14,199
MX-0009,Vadodara City Mall,32,0,6.0,5,199
MX-0009,Ludhiana City Mall,13,0,2.2,5,199
MX-0009,Agra City Mall,151.5,0,5.0,10,199
MX-0010,Mumbai,50,56,4.3,10,999
MX-0010,Delhi,107,0,4.8,10,999
MX-0010,Bengaluru,15,7,1.9,5,999
,Hyderabad,15, 4 ,1.6,5,999
MX-0010,Chennai,31,0,3.6,5,999
MX-0010,Kolkata,52,0,,14,999
MX-0010,Pune, 35 ,0,4.3,5,999
MX-0010,Ahmedabad,140,55,2.9,21,999
MX-0010,Jaipur,88,54,5.9,7,999
MX-0010,Lucknow,175,89,5.6,14,999
MX-0010,Surat,3,-6,0.3,14,999
MX-0010,Indore,65,0,6.0,14,999
MX-0010,Nagpur,105,0,6.9,5,999
MX-0010,Kochi,163,0,5.2,10,999
MX-0010,Chandigarh,9,0,1.5,10,999
MX-0010,Bhopal,76,0,5.3,7,999
MX-0010,Patna,156,0,5.7,10,999
MX-0010,Vadodara,227,0,3.2,21,999
MX-0010,Ludhiana,397,0,6.2,21,999
MX-0010,Agra,28,0,5.4,7,999
MX-0010,Nashik,17,24,3.0,10,999
MX-0010,Meerut, 2 ,0,2.1,7,999
MX-0010,Rajkot,382,211,7.7,21,999
MX-0010,Varanasi,146,0,7.0,,999
MX-0010,Amritsar,186,0,7.9,14,999
MX-0010,Noida,372,0,5.4,21,999
MX-0010,Gurugram,2,19,1.5,21,999
MX-0010,Coimbatore,24,0,0.7,21,999
MX-0010,Madurai,24,0,0.4,21,999
MX-0010,Guwahati,68,0,5.6,21,999
MX-0010,Mumbai City Mall,391,151,7.0,21,999
MX-0010,Delhi City Mall,115, 86 ,6.5,10,999
MX-0010,Bengaluru City Mall,281,0,7.5,14,999
MX-0010,Hyderabad City Mall,11,19,1.9,10,999
MX-0010,Chennai City Mall,41,0,3.4,10,999
MX-0010,Kolkata City Mall,1,0,3.0,21,999
MX-0010,Pune City Mall,17,0,3.4,7,999
MX-0010,Ahmedabad City Mall,6,0,6.1,5,999
MX-0010,Jaipur City Mall,(4),0,5.8,10,999
MX-0010,Lucknow City Mall,131,0,3.3,14,999
MX-0010,Surat City Mall,23,11,1.2,10,999
MX-0010,Indore City Mall,43,12,3.9,7,999
MX-0010,Nagpur City Mall,22,0,1.4,5,999
MX-0010,Kochi City Mall,23,0,1.7,10,999
MX-0010,Chandigarh City Mall,313,0,4.4,21,999
MX-0010,Bhopal City Mall,39,20,0.8,21,999
MX-0010,Patna City Mall,282,0,7.0,14,999
MX-0010,Vadodara City Mall,64,0,1.2,21,999
MX-0010,Ludhiana City Mall,59,82,6.1,21,999
MX-0010,Agra City Mall,0,0,6.1,5,999
MX-0011,Mumbai,13,0,2.0,7,N/A
MX-0011,Delhi,48,81,6.5,14,1999
MX-0011,Bengaluru,4.5,5,0.3,14,1999
MX-0011,Hyderabad, 13 ,0,2.1,7,1999
MX-0011,Chennai,22,0,1.4,21,1999
MX-0011,Kolkata,115,0,5.8,7,1999
MX-0011,Pune,27,0,4.1,14,1999
MX-0011,Ahmedabad,37,0,3.7,5,1999
MX-0011,Jaipur,116,0,6.3,10,1999
MX-0011,Lucknow,25,0,1.6,5,1999
MX-0011,Surat,165,77,7.0,14,1999
MX-0011,Indore,110,0,7.5,7,1999
MX-0011,Nagpur,17,31,3.6,7 days,1999
MX-0011,Kochi,217,0,7.5,10,1999
MX-0011,Chandigarh,90,0,3.9,7,1999
MX-0011,Bhopal,85,98,8.0,14,1999
MX-0011,Patna,24,0,2.2,10,1999
MX-0011,Vadodara,315,0,7.2,14,1999
MX-0011,Ludhiana,37,30,7.6,5,1999
MX-0011,Agra,0,0,0.5,7,1999
MX-0011,Nashik,31,0,1.4,7,1999
MX-0011,Meerut,33,0,2.7,5,1999
MX-0011,Rajkot,47,0,2.7,14,1999
MX-0011,Varanasi,55,0,1.0,21,1999
MX-0011,Amritsar,19,22,2.7,14,1999
MX-0011,Noida,82,48,2.6,21,1999
MX-0011,Gurugram,46,0,2.7,7,1999
MX-0011,Coimbatore,98,0,6.7,14,1999
MX-0011,Madurai,9,0,1.5,5,1999
MX-0011,Guwahati,233,0,6.2,14,1999
MX-0011,Mumbai City Mall,33,20,6.1,7,1999
MX-0011,Delhi City Mall,172,-13,6.8,14,1999
MX-0011,Bengaluru City Mall,21,0,7.4,5,1999
MX-0011,Bengaluru City Mall,21,0,7.4,5,1999
MX-0011,Hyderabad City Mall,164,75,4.0,21,1999
MX-0011,Chennai City Mall,243,0,5.3,14,1999
