ISBN/SKU,store,closing_qty,on_order,sales_per_day,leadtime,mrp
BK-0005,Pune,5,0,0.2,9,Rs. 149
BK-0005,Ahmedabad,9,3,0.4,15,Rs. 149
BK-0005,Ahmedabad,9,3,0.4,15,Rs. 149
BK-0005,Jaipur,2,0,0.4,9,149
,Lucknow,12,0,0.9,15,₹149
BK-0006,Mumbai,0,0,0.7,6,99
BK-0006,Delhi,21,9,0.8,9,99
BK-0006,Bengaluru,5,0,0.3,6,99
BK-0006,Hyderabad, 2 ,0,0.2,9,₹99
BK-0006,Chennai,5,1,0.2,9,Rs. 99
BK-0006,Kolkata, 3 ,16,0.8,15,99.00
BK-0006,Pune,12,0,0.8,6,99
BK-0006,Ahmedabad, 1 ,0,0.1,15,₹99
BK-0006,Jaipur,3,0,0.4,9,99
BK-0006,Lucknow,6,0,0.7,15,₹99
BK-0007,Mumbai,11,3,0.6,9,249
BK-0007,Delhi,5,0,0.8,9,249
BK-0007,Bengaluru,3,0,0.1,15,Rs. 249
BK-0007,Hyderabad,2,0,0.4,15,249
BK-0007,Chennai,22,5,0.6,15,249
BK-0007,Kolkata,2,0,0.2,6,249.00
BK-0007,Pune,20,0,0.5,15,Rs. 249
BK-0007,Ahmedabad,6,1,0.6,6,₹249
BK-0007,Jaipur,3,0,0.3,15,249.00
BK-0007,Lucknow,10,0,0.4,9,₹249
BK-0008,Mumbai,9,0,0.3,15,₹399
BK-0008,Delhi,11,0,0.7,6,Rs. 399
BK-0008,Bengaluru,0,0,0.6,9,399
BK-0008,Hyderabad,36,10,0.8,15,399
BK-0008,Chennai,2,13,0.8,15,399
BK-0008,Kolkata, 5 ,1,0.5,6,399
BK-0008,Pune,15,0,0.4,15,399
BK-0008,Ahmedabad,8,0,0.3,9,399
BK-0008,Jaipur,10.5,0,0.5,15,399
BK-0008,Lucknow,10,0,0.8,9,₹399
BK-0009,Mumbai,2,1,0.4,6,599
BK-0009,Delhi,7,0,0.7,9,₹599
BK-0009,Bengaluru,1,0,0.3,9,599
BK-0009,Hyderabad,10,0,0.5,15,599
BK-0009,Chennai,0,0,0.1,9,₹599
BK-0009,Kolkata,0,2,0.7,9,599.00
BK-0009,Pune, 1 ,0,0.1,15,599
BK-0009,Ahmedabad,20,0,0.7,9,N/A
BK-0009,Jaipur,24,0,0.8,15,599
BK-0009,Lucknow,5,0,0.2,9,599
BK-0010,Mumbai,11,0,0.4,9,₹599
BK-0010,Delhi,0,0,0.3,9,Rs. 599
BK-0010,Bengaluru,4,0,0.4,6,599
BK-0010,Hyderabad,17,0,0.5,15,₹599
BK-0010,Chennai,4,3,0.3,15,₹599
BK-0010,Kolkata,23,0,0.8,15,Rs. 599
BK-0010,Pune, 1 ,0,0.7,9,599
BK-0010,Ahmedabad,0,0,0.0,6,₹599
BK-0010,Jaipur,8,0,0.3,9,599
BK-0010,Lucknow,1,0,0.1,9,599
BK-0011,Mumbai,10,5,0.3,15,₹149
BK-0011,Delhi,6,2,0.4,9,Rs. 149
BK-0011,Bengaluru,16,11,0.6,15,149
BK-0011,Hyderabad,0,0,0.1,9,149
BK-0011,Chennai,11,0,0.3,15,₹149
BK-0011,Kolkata,3,-5,0.2,9,₹149
BK-0011,Pune,0,0,0.0,9,₹149
BK-0011,Ahmedabad,12, 3 ,0.3,15,149
BK-0011,Jaipur,9,5,0.3,,149
BK-0011,Lucknow,12, 9 ,0.7,15,149
BK-0012,Mumbai,5,2,0.4,6,₹149
BK-0012,Delhi,4,0,0.9,9,₹149
BK-0012,Bengaluru,11,0,0.5,9,149
BK-0012,Hyderabad,2,0,0.3,15,Rs. 149
BK-0012,Chennai,0,0,0.0,15,₹149
BK-0012,Kolkata,17,0,0.6,9,Rs. 149
BK-0012,Pune,0,0,0.1,6,149
BK-0012,Ahmedabad,11,0,0.7,9 days,Rs. 149
BK-0012,Jaipur,3,0,0.3,9,₹149
BK-0012,Lucknow,1,0,0.1,6,149
BK-0013,Mumbai,8,0,0.4,15,₹599
BK-0013,Delhi,0,0,0.3,15,599.00
BK-0013,Bengaluru,0,0,0.2,6,599
BK-0013,Hyderabad,3,0,,9,599
BK-0013,Chennai,5,0,0.4,6,₹599
BK-0013,Kolkata,2,0,0.2,6,599
BK-0013,Pune,6,0,0.6,6,₹599
BK-0013,Ahmedabad,17,0,0.6,9,599
BK-0013,Jaipur,5,0,0.9,9,599
BK-0013,Lucknow,11,0,0.8,6,599
BK-0014,Mumbai,0,0,0.4,6,599
BK-0014,Delhi,0.5,0,0.0,6,599
BK-0014,Bengaluru,(2),0,0.4,15,₹599
BK-0014,Hyderabad,5,0,0.3,6,₹599
BK-0014,Chennai,0,0,0.0,9,₹599
BK-0014,Kolkata,25,0,0.8,15,599
BK-0014,Pune,6,0,0.5,15,Rs. 599
BK-0014,Ahmedabad,6,0,0.5,9,₹599
BK-0014,Jaipur,9,0,0.8,6,599
BK-0014,Lucknow,5,0,0.3,9,₹599
BK-0015,Mumbai,2,1,0.4,6,Rs. 99
BK-0015,Delhi,2,0,0.2,6,₹99
BK-0015,Bengaluru,4,0,0.6,9,₹99
BK-0015,Hyderabad,0,0,0.2,6,Rs. 99
BK-0015,Chennai,0,0,0.0,9,99
BK-0015,Chennai,0,0,0.0,9,99
BK-0015,Kolkata,6, 2 ,0.3,9,₹99
BK-0015,Pune,17,0,0.5,15,N/A
BK-0015,Ahmedabad,16,0,0.4,15,Rs. 99
BK-0015,Jaipur,2,0,0.1,15,Rs. 99
BK-0015,Lucknow,7,2,0.2,15,99
,Mumbai,13,0,0.7,15,₹249
BK-0016,Delhi,5,7,0.6,9,₹249
BK-0016,Bengaluru,1,1,0.4,6,249
BK-0016,Hyderabad,7,3,0.3,15,Rs. 249
BK-0016,Chennai,2,0,0.2,15,249
BK-0016,Kolkata,3,0,0.8,9,₹249
BK-0016,Pune,7,3,0.8,6,₹249
BK-0016,Ahmedabad,6,0,0.9,9,249
BK-0016,Jaipur,18,0,0.4,15,249.00
BK-0016,Lucknow,16,0,0.7,9,₹249
BK-0017,Mumbai,23,0,0.8,9,₹99
BK-0017,Delhi,5,0,0.1,15,₹99
BK-0017,Bengaluru, 2 ,0,0.2,9,₹99
BK-0017,Hyderabad,8,0,0.3,9,99
BK-0017,Chennai,14,0,0.6,9,₹99
BK-0017,Kolkata, 18 ,10,0.9,15,99
BK-0017,Pune,0,0,0.2,6,Rs. 99
BK-0017,Ahmedabad,12,0,0.6,6,₹99
BK-0017,Jaipur,5,0,0.4,15,₹99
BK-0017,Lucknow,7,0,0.3,9,Rs. 99
BK-0018,Mumbai,6,0,0.3,9,Rs. 399
BK-0018,Delhi,20,0,0.7,9,Rs. 399
BK-0018,Bengaluru,5,0,0.2,9,Rs. 399
BK-0018,Hyderabad,20,9,0.8,15,399
BK-0018,Chennai,4,2,0.4,6,₹399
BK-0018,Kolkata,13,0,0.9,15,₹399
BK-0018,Pune,0,-6,0.0,6,₹399
BK-0018,Ahmedabad,19,0,0.6,15,₹399
BK-0018,Jaipur,1,0,0.1,6,Rs. 399
BK-0018,Lucknow,1,0,0.4,15,399.00
BK-0019,Mumbai,20,0,0.8,9,149
BK-0019,Delhi,10,0,0.5,,149
BK-0019,Bengaluru,2,0,0.2,9,149
BK-0019,Hyderabad,9,0,0.8,6,149
BK-0019,Chennai,12.5,0,0.5,15,₹149
BK-0019,Kolkata,1,7,0.8,9,149.00
BK-0019,Pune,1,0,0.2,9,149
BK-0019,Ahmedabad,11,2,0.4,9,₹149
BK-0019,Jaipur,9,0,0.2,15,149
BK-0019,Lucknow,2,0,0.2,9,149
BK-0020,Mumbai,24,0,0.6,15,₹149
BK-0020,Delhi,22,0,0.6,15,₹149
BK-0020,Bengaluru,6,0,0.4,9,Rs. 149
BK-0020,Hyderabad,18,0,0.8,9,149
BK-0020,Chennai,2,0,0.1,15,149.00
BK-0020,Kolkata,6,0,0.3,15,₹149
BK-0020,Pune,0,0,0.1,6 days,Rs. 149
BK-0020,Ahmedabad,17,0,0.5,15,Rs. 149
BK-0020,Jaipur,7,0,0.5,9,149
BK-0020,Lucknow,10,5,0.4,15,149
BK-0021,Mumbai,3,2,0.5,6,₹599
BK-0021,Delhi,19,0,0.7,15,599
BK-0021,Bengaluru, 27 ,0,0.8,15,₹599
BK-0021,Hyderabad,14,0,0.3,15,₹599
BK-0021,Chennai,5,1,0.6,6,₹599
BK-0021,Kolkata, 3 ,0,0.4,6,N/A
BK-0021,Pune,11,0,,9,₹599
BK-0021,Ahmedabad,2,0,0.3,9,₹599
BK-0021,Jaipur,19,0,0.7,15,599
BK-0021,Lucknow,10,0,0.6,6,599
BK-0022,Mumbai,2,0,0.5,6,399
BK-0022,Delhi,4,0,0.4,15,₹399
BK-0022,Bengaluru,1,0,0.1,6,Rs. 399
BK-0022,Hyderabad,4,2,0.3,6,399
BK-0022,Chennai,1,0,0.5,9,399
BK-0022,Kolkata,6,0,0.5,9,399
BK-0022,Pune,4,0,0.3,15,399
BK-0022,Ahmedabad,9,0,0.6,15,399
BK-0022,Jaipur,0,0,0.2,9,399.00
BK-0022,Lucknow,10,0,0.6,6,399
BK-0023,Mumbai,3,0,0.5,6,149
BK-0023,Delhi,(5),1,0.4,6,₹149
BK-0023,Bengaluru,0,5,0.7,6,149
BK-0023,Hyderabad,0,0,0.0,15,Rs. 149
BK-0023,Chennai,7,5,0.7,6,Rs. 149
BK-0023,Kolkata,3,0,0.2,6,Rs. 149
BK-0023,Pune,28,0,0.9,15,149
BK-0023,Ahmedabad,5,0,0.5,6,149
BK-0023,Jaipur,0,0,0.5,15,149
BK-0023,Lucknow,4,0,0.4,6,Rs. 149
BK-0024,Mumbai,1,6,0.5,9,₹249
BK-0024,Delhi,16,5,0.5,15,Rs. 249
BK-0024,Bengaluru,12,5,0.3,15,Rs. 249
BK-0024,Hyderabad,0,0,0.0,6,249
BK-0024,Chennai,10,0,0.7,6,249
BK-0024,Kolkata, 7 ,0,0.4,15,249
BK-0024,Pune,0,0,0.0,6,₹249
BK-0024,Ahmedabad,15.5,0,0.7,9,249.00
BK-0024,Jaipur, 6 ,0,0.5,6,249.00
BK-0024,Lucknow,3,0,0.2,9,249
BK-0025,Mumbai,5,0,0.5,9,₹249
BK-0025,Delhi,5,0,0.4,6,₹249
BK-0025,Delhi,5,0,0.4,6,₹249
BK-0025,Bengaluru,0,0,0.2,6,249
BK-0025,Hyderabad, 11 ,0,0.5,9,₹249
BK-0025,Chennai,10,0,0.8,6,249.00
BK-0025,Kolkata,0, 5 ,0.6,9,₹249
BK-0025,Pune,3,0,0.2,9,249.00
BK-0025,Ahmedabad,1,-4,0.3,6,249
BK-0025,Jaipur,4,0,0.3,15,249
BK-0025,Lucknow, 1 ,0,0.1,6,249
BK-0026,Mumbai,13,0,0.5,9,99
,Delhi,8,0,0.6,6,99.00
BK-0026,Bengaluru,0,0,0.0,9,99
BK-0026,Hyderabad,3,0,0.2,9,₹99
BK-0026,Chennai, 0 ,0,0.5,,99
BK-0026,Kolkata,6,0,0.5,15,Rs. 99
BK-0026,Pune,13,0,0.7,15,99
BK-0026,Ahmedabad,5,0,0.4,9,₹99
BK-0026,Jaipur,0,1,0.1,15,99.00
BK-0026,Lucknow,2,0,0.3,9,99
BK-0027,Mumbai,1,0,0.1,6,99
BK-0027,Delhi,7, 5 ,0.5,9,99
BK-0027,Bengaluru,20,0,0.6,15,Rs. 99
BK-0027,Hyderabad,28,4,0.6,15,₹99
BK-0027,Chennai,0,0,0.0,15,N/A
BK-0027,Kolkata, 22 ,13,0.7,15,₹99
BK-0027,Pune,24,0,0.5,15,99.00
BK-0027,Ahmedabad,0,0,0.1,9,₹99
BK-0027,Jaipur,0,0,0.0,9,99
BK-0027,Lucknow,3,0,0.5,6,₹99
BK-0028,Mumbai,0,0,0.4,15,599
BK-0028,Delhi,9,0,0.2,15,599
BK-0028,Bengaluru,6,0,0.5,9,599
BK-0028,Hyderabad,0,0,0.2,9,₹599
BK-0028,Chennai,28,0,0.8,15,₹599
BK-0028,Kolkata,9,0,0.7,6 days,599
BK-0028,Pune,11,4,0.5,9,₹599
BK-0028,Ahmedabad,14,5,0.6,9,599.00
BK-0028,Jaipur,0,0,0.1,6,599
BK-0028,Lucknow,1,0,0.1,6,599.00
BK-0029,Mumbai,8,0,0.6,6,₹249
BK-0029,Delhi,24,0,0.5,15,249
BK-0029,Bengaluru,3,1,0.3,6,Rs. 249
BK-0029,Hyderabad,2,0,0.2,9,249
BK-0029,Chennai, 1 ,0,0.1,6,Rs. 249
BK-0029,Kolkata,3,0,0.7,9,Rs. 249
BK-0029,Pune,1,0,0.6,9,₹249
BK-0029,Ahmedabad,0,2,0.3,9,249
BK-0029,Jaipur,7,0,0.8,6,Rs. 249
BK-0029,Lucknow,8,3,,9,249
BK-0030,Mumbai,4.5,0,0.1,15,₹599
BK-0030,Delhi,1,0,0.4,6,Rs. 599
BK-0030,Bengaluru,4,0,0.3,15,599
BK-0030,Hyderabad,3,0,0.8,9,₹599
BK-0030,Chennai,3,0,0.4,9,₹599
BK-0030,Kolkata, 12 ,0,0.6,15,₹599
BK-0030,Pune,3,6,0.8,6,599
BK-0030,Ahmedabad, 7 ,3,0.5,9,₹599
BK-0030,Jaipur,8,4,0.6,9,599
BK-0030,Lucknow,1, 9 ,0.8,15,Rs. 599
BK-0031,Mumbai,16,0,0.8,6,₹399
BK-0031,Delhi,0,0,0.1,9,₹399
BK-0031,Bengaluru,5,0,0.4,15,399
BK-0031,Hyderabad,2,0,0.1,9,₹399
BK-0031,Chennai,12,0,0.8,6,399
BK-0031,Kolkata,5,0,0.4,9,399
BK-0031,Pune,0,4,0.6,9,₹399
BK-0031,Ahmedabad,16,0,0.8,9,399
BK-0031,Jaipur,6,0,0.3,15,399
BK-0031,Lucknow,2,0,0.2,9,399
BK-0032,Mumbai,-9,0,0.7,6,149
BK-0032,Delhi,5,0,0.3,15,149
BK-0032,Bengaluru,28,0,0.6,15,Rs. 149
BK-0032,Hyderabad,12,0,0.8,6,₹149
BK-0032,Chennai,24,0,0.8,15,₹149
BK-0032,Kolkata,4,0,0.5,6,₹149
BK-0032,Pune,8,0,0.7,15,149
BK-0032,Ahmedabad,0, 1 ,0.3,6,149
BK-0032,Jaipur,1,-9,0.1,9,Rs. 149
BK-0032,Lucknow,1,0,0.4,9,149
BK-0033,Mumbai,10,0,0.4,15,Rs. 149
BK-0033,Delhi,19,0,0.6,15,₹149
BK-0033,Bengaluru,4,0,0.5,6,₹149
BK-0033,Hyderabad,5,0,0.3,15,N/A
BK-0033,Chennai,14,0,0.6,9,149.00
BK-0033,Kolkata,0,0,0.1,15,149
BK-0033,Pune,8,0,0.7,6,149
BK-0033,Ahmedabad,15,0,0.5,,149
BK-0033,Jaipur,10,3,0.8,6,149
BK-0033,Lucknow,5,5,0.5,9,149
BK-0034,Mumbai,7,0,0.4,15,149
BK-0034,Delhi,3,0,0.7,6,149
BK-0034,Bengaluru,0,0,0.0,6,149.00
BK-0034,Hyderabad,9,0,0.8,9,149
BK-0034,Chennai,3,1,0.6,6,149
BK-0034,Kolkata,6,1,0.3,9,₹149
BK-0034,Pune,2,0,0.2,15,₹149
BK-0034,Ahmedabad,7,0,0.4,15,149.00
BK-0034,Jaipur,6,0,0.3,15,149
BK-0034,Jaipur,6,0,0.3,15,149
BK-0034,Lucknow,6,0,0.4,6,149
BK-0035,Mumbai,10,3,0.5,15,₹99
BK-0035,Delhi,11,3,0.3,15,99.00
BK-0035,Bengaluru,0,0,0.1,6,99.00
BK-0035,Hyderabad,10.5,0,0.4,9,99
BK-0035,Chennai,5,0,0.3,15,₹99
BK-0035,Kolkata,8,2,0.4,9,99
BK-0035,Pune,2,0,0.7,6,99
BK-0035,Ahmedabad,6,0,0.9,6,99
BK-0035,Jaipur,17,0,0.5,15,99.00
BK-0035,Lucknow,7,0,0.9,9,₹99
BK-0036,Mumbai,4,3,0.6,6,₹99
BK-0036,Delhi,0,0,0.0,15,99
,Bengaluru,12,0,0.4,15,99
BK-0036,Hyderabad,2,5,0.7,9,Rs. 99
BK-0036,Chennai,2,0,0.2,6 days,₹99
BK-0036,Kolkata,2,0,0.2,6,99
BK-0036,Pune,2,1,0.1,15,Rs. 99
BK-0036,Ahmedabad,5,0,0.4,9,99
BK-0036,Jaipur,9,0,0.3,9,₹99
BK-0036,Lucknow,7,0,0.9,6,₹99
BK-0037,Mumbai,4,0,0.7,6,Rs. 149
BK-0037,Delhi,2,0,0.4,6,149
BK-0037,Bengaluru,11,0,0.3,15,149
BK-0037,Hyderabad,0,0,0.1,6,₹149
BK-0037,Chennai,13,0,0.8,6,₹149
BK-0037,Kolkata,17,0,0.5,15,149
BK-0037,Pune,0,2,0.4,9,149.00
BK-0037,Ahmedabad,15,12,0.9,15,149
BK-0037,Jaipur, 5 ,0,0.2,9,149.00
BK-0037,Lucknow,4,0,0.1,15,Rs. 149
BK-0038,Mumbai,6,3,0.2,15,599
BK-0038,Delhi,0,12,0.8,15,Rs. 599
BK-0038,Bengaluru,3,0,,9,₹599
BK-0038,Hyderabad,0,0,0.0,6,599
BK-0038,Chennai,0,0,0.0,9,Rs. 599
BK-0038,Kolkata,7,0,0.3,9,599
BK-0038,Pune,12,6,0.9,15,599.00
BK-0038,Ahmedabad,0,0,0.2,6,599
BK-0038,Jaipur,0,0,0.3,6,599.00
BK-0038,Lucknow,24,0,0.9,15,Rs. 599
BK-0039,Mumbai,6,0,0.2,15,399
BK-0039,Delhi,7,0,0.8,9,399
BK-0039,Bengaluru,8,0,0.8,9,N/A
BK-0039,Hyderabad,2,0,0.2,15,₹399
BK-0039,Chennai,3,0,0.2,6,Rs. 399
BK-0039,Kolkata, 12 ,0,0.8,9,399
BK-0039,Pune,1,0,0.1,9,399.00
BK-0039,Ahmedabad,10,3,0.6,6,399
BK-0039,Jaipur,8,0,0.4,9,₹399
BK-0039,Lucknow,0,-19,0.0,15,₹399
BK-0040,Mumbai,4,0,0.3,9,Rs. 599
BK-0040,Delhi,3,2,0.2,15,₹599
BK-0040,Bengaluru,21,3,0.5,15,599
BK-0040,Hyderabad,4,0,0.9,6,Rs. 599
BK-0040,Chennai,32,0,0.7,15,Rs. 599
BK-0040,Kolkata,6,0,0.9,6,Rs. 599
BK-0040,Pune,2.5,0,0.4,9,₹599
BK-0040,Ahmedabad,5,0,0.5,15,599
BK-0040,Jaipur,14,4,0.5,9,₹599
BK-0040,Lucknow,(5),0,0.5,15,599
BK-0041,Mumbai,25,0,0.7,,₹599
BK-0041,Delhi,19,0,0.8,9,Rs. 599
BK-0041,Bengaluru,1,0,0.3,6,599
BK-0041,Hyderabad,2,5,0.8,6,Rs. 599
BK-0041,Chennai, 0 ,2,0.3,6,599
BK-0041,Kolkata,4,0,0.1,15,599
BK-0041,Pune, 4 ,0,0.4,6,599
BK-0041,Ahmedabad,4,0,0.3,6,599
BK-0041,Jaipur,4,5,0.3,15,599
BK-0041,Lucknow,0,0,0.1,6,599.00
BK-0042,Mumbai,5,0,0.3,6,₹99
BK-0042,Delhi,12,0,0.8,6,₹99
BK-0042,Bengaluru,2,0,0.4,9,Rs. 99
BK-0042,Hyderabad, 1 ,0,0.2,15,Rs. 99
BK-0042,Chennai,7,7,0.4,15,99
BK-0042,Kolkata,2,0,0.1,9,99
BK-0042,Pune,2,0,0.6,6,99
BK-0042,Ahmedabad,0,0,0.5,9,Rs. 99
BK-0042,Jaipur,0,0,0.1,15,₹99
BK-0042,Lucknow,6,0,0.4,6,₹99
BK-0043,Mumbai,12,0,0.5,9,99
BK-0043,Delhi,6,0,0.4,15,₹99
BK-0043,Bengaluru,0,0,0.1,6,₹99
BK-0043,Hyderabad,10,0,0.7,6,Rs. 99
BK-0043,Chennai,15,0,0.9,15,99
BK-0043,Kolkata,3,1,0.5,6,₹99
BK-0043,Pune,0,0,0.1,15,99.00
BK-0043,Ahmedabad,2,0,0.1,15,99
BK-0043,Jaipur,7,0,0.3,9,₹99
BK-0043,Lucknow,2,0,0.1,9,99
BK-0044,Mumbai,1,0,0.2,6,Rs. 149
BK-0044,Delhi,10,0,0.6,9,Rs. 149
BK-0044,Bengaluru,2,0,0.1,15,149
BK-0044,Hyderabad,0,0,0.0,9 days,149.00
BK-0044,Chennai,11,0,0.6,9,₹149
BK-0044,Kolkata,7,0,0.8,15,149
BK-0044,Kolkata,7,0,0.8,15,149
BK-0044,Pune,5,0,0.6,6,149
BK-0044,Ahmedabad, 0 ,0,0.0,9,Rs. 149
BK-0044,Jaipur,41,0,0.9,15,149
BK-0044,Lucknow,16,0,0.9,6,Rs. 149
BK-0045,Mumbai,11,0,0.5,15,₹249
BK-0045,Delhi,4,0,0.3,6,N/A
BK-0045,Bengaluru,31,12,0.7,15,249.00
BK-0045,Hyderabad,6,0,0.2,9,249.00
BK-0045,Chennai,16,0,0.9,6,249
BK-0045,Kolkata,18,9,0.5,15,₹249
BK-0045,Pune,12,4,0.8,6,249
BK-0045,Ahmedabad,3,0,0.2,15,₹249
BK-0045,Jaipur,8,0,0.6,6,249
BK-0045,Lucknow,1.5, 1 ,0.1,9,249
BK-0046,Mumbai,0,0,0.1,9,99
BK-0046,Delhi,11,2,0.5,9,99
BK-0046,Bengaluru,1,0,0.5,9,99
,Hyderabad,0,0,0.4,6,99.00
BK-0046,Chennai,2,0,0.4,6,₹99
BK-0046,Kolkata,17,0,,9,99
BK-0046,Pune,1,0,0.1,6,99
BK-0046,Ahmedabad,6, 3 ,0.3,9,99.00
BK-0046,Jaipur,2,0,0.2,6,99.00
BK-0046,Lucknow,30,0,0.6,15,₹99
BK-0047,Mumbai,3,-2,0.4,15,₹99
BK-0047,Delhi,17,0,0.8,9,99
BK-0047,Bengaluru,21,11,0.9,15,₹99
BK-0047,Hyderabad,3,0,0.2,9,₹99
BK-0047,Chennai,18,7,0.6,15,Rs. 99
BK-0047,Kolkata,0,0,0.2,6,99.00
BK-0047,Pune,9,0,0.5,6,99
BK-0047,Ahmedabad,18,0,0.8,15,₹99
BK-0047,Jaipur,0,0,0.7,9,₹99
BK-0047,Lucknow,0,0,0.0,6,Rs. 99
BK-0048,Mumbai,5, 4 ,0.3,15,₹599
BK-0048,Delhi,9,5,0.7,9,599.00
BK-0048,Bengaluru, 16 ,0,0.6,9,599
BK-0048,Hyderabad,2,0,0.1,,599.00
BK-0048,Chennai,3,0,0.1,15,599
BK-0048,Kolkata,1,0,0.1,6,₹599
BK-0048,Pune,36,0,0.9,15,₹599
BK-0048,Ahmedabad,2,0,0.3,9,₹599
BK-0048,Jaipur,3,0,0.2,9,599.00
BK-0048,Lucknow,6,0,0.5,9,₹599
BK-0049,Mumbai,2,0,0.8,6,₹399
BK-0049,Delhi,6,0,0.4,6,399.00
BK-0049,Bengaluru,1,1,0.1,9,Rs. 399
BK-0049,Hyderabad,4,0,0.4,9,399
BK-0049,Chennai,2,0,0.3,6,₹399
BK-0049,Kolkata,8,0,0.3,9,399
BK-0049,Pune,1,0,0.1,9,399.00
BK-0049,Ahmedabad,7,0,0.3,15,399
BK-0049,Jaipur,-6,0,0.8,6,399.00
BK-0049,Lucknow,0,1,0.1,15,399
BK-0050,Mumbai,9,0,0.5,6,99
BK-0050,Delhi,15,0,0.7,15,99
BK-0050,Bengaluru,1,0,0.7,6,Rs. 99
BK-0050,Hyderabad,16,0,0.5,15,99
BK-0050,Chennai,1,0,0.3,9,Rs. 99
BK-0050,Kolkata,2,0,0.3,15,99
BK-0050,Pune,14,0,0.6,9,₹99
BK-0050,Ahmedabad,7,0,0.2,15,Rs. 99
BK-0050,Jaipur,10,14,0.8,15,₹99
BK-0050,Lucknow,0,0,0.1,6,₹99
BK-0051,Mumbai,3,1,0.2,9,N/A
BK-0051,Delhi,2,7,0.7,9,599
BK-0051,Bengaluru,21.5,0,0.8,15,599
BK-0051,Hyderabad,7,0,0.5,6,Rs. 599
BK-0051,Chennai,12,0,0.6,15,599
BK-0051,Kolkata,0,0,0.0,6,599.00
BK-0051,Pune, 11 ,0,0.3,15,599
BK-0051,Ahmedabad,28,0,0.6,15,599.00
BK-0051,Jaipur,2,0,0.4,9,₹599
BK-0051,Lucknow,19,0,0.6,15,₹599
BK-0052,Mumbai,0,3,0.5,6,99
BK-0052,Delhi,0,0,0.2,6,₹99
BK-0052,Bengaluru,36,0,0.8,15 days,Rs. 99
BK-0052,Hyderabad,9,0,0.5,6,₹99
BK-0052,Chennai,21,0,0.8,9,Rs. 99
BK-0052,Kolkata,0,0,0.1,15,99
BK-0052,Pune,0,0,0.3,6,99
BK-0052,Ahmedabad,13,0,0.4,15,₹99
BK-0052,Jaipur,4,0,0.4,15,Rs. 99
BK-0052,Lucknow,3,0,0.6,9,₹99
BK-0053,Mumbai,11,4,0.8,6,249
BK-0053,Delhi,0,0,0.3,15,Rs. 249
BK-0053,Bengaluru,20,0,0.8,9,249
BK-0053,Hyderabad, 2 ,0,0.1,15,249
BK-0053,Chennai,6,0,0.4,6,249
BK-0053,Kolkata,0,0,0.0,6,249
BK-0053,Pune,2,0,0.1,15,₹249
BK-0053,Ahmedabad,2,0,0.5,6,249.00
BK-0053,Jaipur,8,0,0.8,15,Rs. 249
BK-0053,Lucknow,18,0,0.6,15,249
BK-0054,Mumbai,33,9,0.7,15,399
BK-0054,Delhi,0,-16,0.0,15,399
BK-0054,Bengaluru,0,0,0.0,6,399.00
