Article,Branch,Qty On Hand,Open PO,run_rate,replenishment_days,Rate,Style,Colour,Size
FW-RUNN-BLK-UK6,Gurugram Store,17,0,1.3,10,"₹2,299",Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Coimbatore Store,31,0,2.8,14,"Rs. 2,299",Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Madurai Store,51,0,2.9,10,N/A,Runner Flex,BLK,UK6
FW-RUNN-BLK-UK6,Guwahati Store,17,0,0.3,21,"₹2,299",Runner Flex,BLK,UK6
FW-RUNN-BLK-UK7,Mumbai Store,43,0,1.0,14,2299,Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Delhi Store,73,0,2.4,10,"₹2,299",Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Bengaluru Store,28,0,0.9,10,"₹2,299",Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Hyderabad Store,118,0,2.7,14,"Rs. 2,299",Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Chennai Store,27,-9,2.5,14,"2,299.00",Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Kolkata Store,5,0,1.6,,"Rs. 2,299",Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Pune Store,25,4,0.9,10,"Rs. 2,299",Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Ahmedabad Store,27,27,2.1,10,"Rs. 2,299",Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Jaipur Store,47,0,1.5,21 days,"₹2,299",Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Lucknow Store,19,0,2.6,10,"₹2,299",Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Surat Store,157,0,,21,"Rs. 2,299",Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Indore Store,66,32,1.3,21,"₹2,299",Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Nagpur Store,19,0,2.6,10,2299,Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Kochi Store,(4),0,0.9,21,"₹2,299",Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Chandigarh Store,11,0,1.2,21,"₹2,299",Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Bhopal Store,127,0,2.5,21,"2,299.00",Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Patna Store,0,0,2.3,10,2299,Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Vadodara Store,38,0,1.6,10,"₹2,299",Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Vadodara Store,38,0,1.6,10,"₹2,299",Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Ludhiana Store,19,9,0.4,21,"Rs. 2,299",Runner Flex,BLK,UK7
,Agra Store,159,0,2.6,21,"₹2,299",Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Nashik Store,50,17,1.7,14,2299,Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Meerut Store,5,0,2.9,14,2299,Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Rajkot Store,19,0,2.8,21,"₹2,299",Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Varanasi Store,44,0,2.9,10,"₹2,299",Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Amritsar Store,14,0,1.5,10,2299,Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Noida Store,19,0,0.5,14,"₹2,299",Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Gurugram Store,1,2,0.3,10,2299,Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Coimbatore Store,33,0,2.3,14,"Rs. 2,299",Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Madurai Store,21,0,0.6,14,2299,Runner Flex,BLK,UK7
FW-RUNN-BLK-UK7,Guwahati Store,94,0,1.5,21,2299,Runner Flex,BLK,UK7
FW-RUNN-BLK-UK8,Mumbai Store,8,0,0.3,10,1499,Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Delhi Store,23,0,2.9,14,1499,Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Bengaluru Store,54,0,2.1,10,1499,Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Hyderabad Store,141,0,2.9,21,1499,Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Chennai Store,136,0,2.1,21,"Rs. 1,499",Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Kolkata Store,19,0,0.6,10,1499,Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Pune Store,14,0,1.0,10,"₹1,499",Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Ahmedabad Store,69,0,2.0,21,1499,Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Jaipur Store,1,0,0.7,14,"Rs. 1,499",Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Lucknow Store,86,0,2.4,21,"Rs. 1,499",Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Surat Store, 50 ,0,2.9,10,1499,Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Indore Store,8,0,1.7,14,1499,Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Nagpur Store,35,0,1.9,14,"₹1,499",Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Kochi Store,29,0,1.9,14,1499,Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Chandigarh Store,14,0,1.1,14,1499,Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Bhopal Store,17,0,1.4,21,1499,Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Patna Store,57,0,2.4,10,1499,Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Vadodara Store,5,14,1.4,14,"₹1,499",Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Ludhiana Store,26.5,0,0.6,21,1499,Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Agra Store,0,17,1.9,14,1499,Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Nashik Store,182,0,2.9,21,"Rs. 1,499",Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Meerut Store, 37 ,30,2.3,10,"Rs. 1,499",Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Rajkot Store, 6 ,0,0.8,14,"₹1,499",Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Varanasi Store,3,0,1.2,10,1499,Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Amritsar Store, 58 ,0,1.6,21,"Rs. 1,499",Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Noida Store,17,0,0.7,10,"₹1,499",Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Gurugram Store,26,0,1.6,21,"₹1,499",Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Coimbatore Store,20,0,1.1,10,N/A,Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Madurai Store,22,0,2.1,10,"₹1,499",Runner Flex,BLK,UK8
FW-RUNN-BLK-UK8,Guwahati Store,28,6,0.6,21,"₹1,499",Runner Flex,BLK,UK8
FW-RUNN-BLK-UK9,Mumbai Store,54,35,1.6,21,"₹4,999",Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Delhi Store,10,0,2.7,10,4999,Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Bengaluru Store,25,0,1.3,14,4999,Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Hyderabad Store,90,0,2.6,14,"Rs. 4,999",Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Chennai Store,38,12,1.3,10,4999,Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Kolkata Store,159,0,2.3,21,"₹4,999",Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Pune Store,40,0,0.8,21,4999,Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Ahmedabad Store,8,18,1.6,14,"₹4,999",Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Jaipur Store,77,0,2.7,21,"4,999.00",Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Lucknow Store,78,13,2.4,10,"Rs. 4,999",Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Surat Store,20,0,0.9,14,"₹4,999",Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Indore Store,13,0,1.9,21,"Rs. 4,999",Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Nagpur Store,0,0,1.3,21,"Rs. 4,999",Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Kochi Store,48,13,1.0,21,"Rs. 4,999",Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Chandigarh Store,39,6,0.7,21,"₹4,999",Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Bhopal Store,34,-13,2.8,14,"Rs. 4,999",Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Patna Store,41,0,1.0,14,"₹4,999",Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Vadodara Store,60,0,1.6,21,4999,Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Ludhiana Store,12,33,3.0,,"₹4,999",Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Agra Store,176,0,2.6,21,4999,Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Nashik Store, 7 ,0,0.7,21,"₹4,999",Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Meerut Store,94,28,2.1,21,"Rs. 4,999",Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Rajkot Store,14,0,0.4,14,4999,Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Varanasi Store,12,35,2.6,21,4999,Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Amritsar Store,58,0,2.8,10,"Rs. 4,999",Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Noida Store, 38 ,0,1.5,10,"₹4,999",Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Gurugram Store,4,0,1.1,10,4999,Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Coimbatore Store,37,0,0.9,14 days,"₹4,999",Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Madurai Store,10,0,0.3,21,4999,Runner Flex,BLK,UK9
FW-RUNN-BLK-UK9,Guwahati Store,53,0,2.1,10,4999,Runner Flex,BLK,UK9
FW-RUNN-BLK-UK10,Mumbai Store,29,10,0.7,14,"₹2,299",Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Delhi Store,1,0,0.7,10,"₹2,299",Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Bengaluru Store,37,22,1.3,14,2299,Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Hyderabad Store,153,0,,21,"Rs. 2,299",Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Chennai Store,29,0,2.9,14,2299,Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Kolkata Store,73,0,1.1,21,2299,Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Pune Store,39,0,2.2,10,"Rs. 2,299",Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Ahmedabad Store, 45 ,0,1.9,10,"₹2,299",Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Jaipur Store,14,0,1.2,21,"₹2,299",Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Lucknow Store,43,0,1.6,14,2299,Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Surat Store,66,0,1.9,21,2299,Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Indore Store,6.5,0,0.6,10,2299,Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Nagpur Store,(6),0,0.6,14,"₹2,299",Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Kochi Store,67,29,1.5,21,"₹2,299",Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Chandigarh Store,26, 10 ,1.4,14,"₹2,299",Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Bhopal Store,16,0,2.4,14,"Rs. 2,299",Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Patna Store,68,0,1.6,21,"₹2,299",Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Vadodara Store,32,14,1.1,14,2299,Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Ludhiana Store,5,5,1.3,10,2299,Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Agra Store,168,0,2.9,21,"Rs. 2,299",Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Nashik Store,96,0,2.1,21,"₹2,299",Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Meerut Store,107,0,1.5,21,2299,Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Rajkot Store,20,0,1.4,10,2299,Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Varanasi Store,37,0,0.6,21,2299,Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Amritsar Store,8,0,1.3,10,2299,Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Amritsar Store,8,0,1.3,10,2299,Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Noida Store,17,0,0.6,10,"₹2,299",Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Gurugram Store,9,0,1.1,14,N/A,Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Coimbatore Store,70,17,2.7,10,2299,Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Madurai Store,1,0,0.3,10,2299,Runner Flex,BLK,UK10
FW-RUNN-BLK-UK10,Guwahati Store,9,0,0.3,21,"₹2,299",Runner Flex,BLK,UK10
,Mumbai Store,28,0,1.0,14,"₹1,499",Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Delhi Store,11,0,2.0,14,"1,499.00",Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Bengaluru Store,16,0,1.3,14,"₹1,499",Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Hyderabad Store,125,37,2.0,21,"₹1,499",Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Chennai Store,32,24,2.2,14,1499,Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Kolkata Store,57,0,1.4,14,1499,Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Pune Store,27,0,1.5,10,1499,Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Ahmedabad Store,16,0,1.6,10,1499,Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Jaipur Store,47,0,1.6,21,"Rs. 1,499",Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Lucknow Store,21,0,2.8,21,"₹1,499",Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Surat Store,39,0,2.7,10,1499,Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Indore Store,77,0,2.4,14,"₹1,499",Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Nagpur Store,13,0,2.2,10,"₹1,499",Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Kochi Store, 62 ,26,1.5,14,1499,Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Chandigarh Store,8,0,1.5,10,1499,Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Bhopal Store,10,0,0.9,14,"₹1,499",Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Patna Store,10,0,0.8,10,"Rs. 1,499",Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Vadodara Store, 75 ,0,1.8,21,1499,Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Ludhiana Store,81,0,1.5,21,"1,499.00",Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Agra Store,4,0,2.6,10,1499,Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Nashik Store,68,0,2.3,10,"Rs. 1,499",Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Meerut Store,95,0,2.5,14,"₹1,499",Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Rajkot Store,0,0,0.4,21,"Rs. 1,499",Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Varanasi Store,71,0,2.8,10,1499,Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Amritsar Store,79,0,2.8,10,1499,Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Noida Store,82,0,2.5,21,1499,Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Gurugram Store,35,-18,2.3,14,"1,499.00",Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Coimbatore Store,6,11,0.9,14,"Rs. 1,499",Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Madurai Store,2,0,2.0,21,"1,499.00",Runner Flex,BLK,UK11
FW-RUNN-BLK-UK11,Guwahati Store,7,0,0.4,14,"Rs. 1,499",Runner Flex,BLK,UK11
FW-RUNN-WHT-UK6,Mumbai Store,1,0,0.8,21,"₹3,499",Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Delhi Store,66,0,1.5,,3499,Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Bengaluru Store,114,0,2.6,21,"Rs. 3,499",Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Hyderabad Store,67,0,2.0,14,3499,Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Chennai Store,6.5,11,0.7,14,"₹3,499",Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Kolkata Store,42,0,2.0,14,"Rs. 3,499",Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Pune Store,23,0,1.0,14,3499,Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Ahmedabad Store,2,0,0.4,14,"₹3,499",Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Jaipur Store,38,0,1.7,14,"3,499.00",Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Lucknow Store,90,45,2.7,21,3499,Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Surat Store,119,0,2.5,21,3499,Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Indore Store,37,0,2.0,21,3499,Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Nagpur Store,16,0,1.2,21,"₹3,499",Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Kochi Store,60,0,2.0,10,3499,Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Chandigarh Store,13,0,0.3,21,"₹3,499",Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Bhopal Store,23,10,1.0,10,3499,Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Patna Store,16,0,1.4,10 days,3499,Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Vadodara Store,80,22,2.8,14,3499,Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Ludhiana Store,6,0,0.4,14,3499,Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Agra Store,74,60,2.5,21,3499,Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Nashik Store,43,0,2.5,10,3499,Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Meerut Store, 96 ,0,2.4,14,3499,Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Rajkot Store,78,0,1.9,21,"₹3,499",Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Varanasi Store,44,0,1.7,21,3499,Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Amritsar Store,5,7,0.7,10,"₹3,499",Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Noida Store,58,8,2.0,10,N/A,Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Gurugram Store,24,0,,21,3499,Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Coimbatore Store,63,0,2.9,21,3499,Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Madurai Store, 19 ,0,1.2,14,3499,Runner Flex,WHT,UK6
FW-RUNN-WHT-UK6,Guwahati Store,113,0,2.2,21,3499,Runner Flex,WHT,UK6
FW-RUNN-WHT-UK7,Mumbai Store,8,0,0.4,10,"₹1,499",Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Delhi Store,24,0,1.6,21,1499,Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Bengaluru Store,9,0,0.7,14,1499,Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Hyderabad Store,144,0,2.7,21,"1,499.00",Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Chennai Store,172,0,2.8,21,1499,Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Kolkata Store,36,0,1.7,14,1499,Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Pune Store,32,17,1.8,10,1499,Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Ahmedabad Store,0,0,0.6,14,"₹1,499",Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Jaipur Store,10,0,0.4,10,1499,Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Lucknow Store,68,0,1.5,14,"₹1,499",Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Surat Store, 21 ,0,2.9,10,1499,Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Indore Store,-8,0,0.7,14,"Rs. 1,499",Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Nagpur Store,97, 34 ,2.6,21,1499,Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Kochi Store,87,0,2.2,14,1499,Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Chandigarh Store,21,0,0.6,21,"₹1,499",Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Bhopal Store,36,0,2.2,21,1499,Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Patna Store,55,0,0.8,21,"₹1,499",Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Vadodara Store, 29 ,0,1.4,14,"1,499.00",Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Ludhiana Store,22,0,0.7,10,1499,Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Agra Store,11,0,0.4,14,"₹1,499",Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Nashik Store,68,0,1.7,21,"₹1,499",Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Meerut Store,69,37,2.7,14,"1,499.00",Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Rajkot Store,169,0,2.9,21,"₹1,499",Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Varanasi Store,9,13,1.4,21,1499,Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Amritsar Store,18,5,0.6,14,1499,Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Noida Store,12,43,2.3,14,1499,Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Gurugram Store, 54 ,48,2.5,21,"1,499.00",Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Coimbatore Store,79.5,0,1.7,21,1499,Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Madurai Store,20,0,2.6,14,"₹1,499",Runner Flex,WHT,UK7
FW-RUNN-WHT-UK7,Guwahati Store,17,0,2.6,10,1499,Runner Flex,WHT,UK7
FW-RUNN-WHT-UK8,Mumbai Store,0,0,1.7,10,"₹2,299",Runner Flex,WHT,UK8
FW-RUNN-WHT-UK8,Delhi Store, 97 ,18,3.0,14,2299,Runner Flex,WHT,UK8
FW-RUNN-WHT-UK8,Delhi Store, 97 ,18,3.0,14,2299,Runner Flex,WHT,UK8
FW-RUNN-WHT-UK8,Bengaluru Store,38,16,2.5,14,2299,Runner Flex,WHT,UK8
FW-RUNN-WHT-UK8,Hyderabad Store,59,0,2.4,21,"₹2,299",Runner Flex,WHT,UK8
FW-RUNN-WHT-UK8,Chennai Store,61,0,0.9,21,"₹2,299",Runner Flex,WHT,UK8
FW-RUNN-WHT-UK8,Kolkata Store, 52 ,0,1.2,14,"Rs. 2,299",Runner Flex,WHT,UK8
FW-RUNN-WHT-UK8,Pune Store, 36 ,0,1.5,21,"Rs. 2,299",Runner Flex,WHT,UK8
FW-RUNN-WHT-UK8,Ahmedabad Store,0,-15,0.3,10,"₹2,299",Runner Flex,WHT,UK8
FW-RUNN-WHT-UK8,Jaipur Store,68,0,2.7,10,2299,Runner Flex,WHT,UK8
FW-RUNN-WHT-UK8,Lucknow Store,72,0,2.0,14,"2,299.00",Runner Flex,WHT,UK8
FW-RUNN-WHT-UK8,Surat Store,20,0,1.0,14,"₹2,299",Runner Flex,WHT,UK8
,Indore Store,16,0,1.1,10,2299,Runner Flex,WHT,UK8
