product_code,site,on_hand,pending_po,offtake,lead_time_in_days,asp,Item
HD-007-CUSH,Hyderabad,51,0,0.8,25,1499,Cushion Velvet
HD-007-CUSH,Chennai,48,0,1.0,25,1499,Cushion Velvet
HD-007-CUSH,Kolkata,10,4,0.2,18,1499,Cushion Velvet
HD-007-CUSH,Pune,50.5,0,0.9,18,1499,Cushion Velvet
HD-007-CUSH,Ahmedabad,11,0,0.7,25,"₹1,499",Cushion Velvet
HD-007-CUSH,Jaipur,58,15,1.0,25,"₹1,499",Cushion Velvet
HD-007-CUSH,Lucknow,3,0,0.2,12,"₹1,499",Cushion Velvet
HD-007-CUSH,Surat,3,3,0.3,18,"Rs. 1,499",Cushion Velvet
HD-007-CUSH,Indore,2,0,0,12,"1,499.00",Cushion Velvet
HD-008-VASE,Mumbai,13,0,0.6,12,399,Vase Ceramic
HD-008-VASE,Delhi,32,0,0.6,18,₹399,Vase Ceramic
HD-008-VASE,Bengaluru,33,0,0.7,25,₹399,Vase Ceramic
HD-008-VASE,Hyderabad,17,0,0.4,18,N/A,Vase Ceramic
HD-008-VASE,Chennai,14,0,0.2,25,₹399,Vase Ceramic
HD-008-VASE,Kolkata,3,0,0.2,18,₹399,Vase Ceramic
HD-008-VASE,Pune,20,0,0.5,12,Rs. 399,Vase Ceramic
HD-008-VASE,Ahmedabad,34,0,0.9,12,399.00,Vase Ceramic
HD-008-VASE,Jaipur,20,8,0.9,12,399,Vase Ceramic
HD-008-VASE,Lucknow,7,0,0.3,12,Rs. 399,Vase Ceramic
HD-008-VASE,Surat,6,9,0.8,18,399.00,Vase Ceramic
HD-008-VASE,Indore, 1 ,0,0.1,12,399.00,Vase Ceramic
HD-009-VASE,Mumbai,11,0,0,25,"₹1,499",Vase Ceramic
HD-009-VASE,Delhi,30,0,0.8,12,1499,Vase Ceramic
HD-009-VASE,Bengaluru,11,0,0.6,12,1499,Vase Ceramic
HD-009-VASE,Hyderabad,21,0,0.7,18,1499,Vase Ceramic
HD-009-VASE,Chennai,20,0,0.7,12,1499,Vase Ceramic
HD-009-VASE,Kolkata,12,0,1.0,25,"₹1,499",Vase Ceramic
HD-009-VASE,Pune,35,0,0.6,25,1499,Vase Ceramic
HD-009-VASE,Ahmedabad,34,28,1.1,25,"₹1,499",Vase Ceramic
HD-009-VASE,Jaipur,2,0,0.1,12,"Rs. 1,499",Vase Ceramic
HD-009-VASE,Lucknow,29,-2,0.5,18,"1,499.00",Vase Ceramic
HD-009-VASE,Surat, 40 ,14,1.1,12,"₹1,499",Vase Ceramic
HD-009-VASE,Indore,0,0,0.1,12,"₹1,499",Vase Ceramic
HD-010-VASE,Mumbai,20,0,0.9,,"2,999.00",Vase Ceramic
HD-010-VASE,Delhi,43,0,0,18,2999,Vase Ceramic
HD-010-VASE,Bengaluru,27,16,0.9,25,"Rs. 2,999",Vase Ceramic
HD-010-VASE,Hyderabad,36,5,0.7,18,"₹2,999",Vase Ceramic
HD-010-VASE,Chennai,5,1,0.1,18,2999,Vase Ceramic
HD-010-VASE,Kolkata,4, 2 ,0.1,25,2999,Vase Ceramic
HD-010-VASE,Pune,9,0,0.7,18,"₹2,999",Vase Ceramic
HD-010-VASE,Ahmedabad,0,0,0.0,12,2999,Vase Ceramic
HD-010-VASE,Jaipur,49,0,1.2,25,"2,999.00",Vase Ceramic
HD-010-VASE,Lucknow,4,0,0.1,18 days,"₹2,999",Vase Ceramic
HD-010-VASE,Surat,65,0,1.2,25,2999,Vase Ceramic
HD-010-VASE,Indore,35,7,0.9,12,2999,Vase Ceramic
HD-011-VASE,Mumbai,1,0,0.3,12,"Rs. 5,999",Vase Ceramic
HD-011-VASE,Delhi,2,0,0.4,12,"₹5,999",Vase Ceramic
HD-011-VASE,Bengaluru,37,0,0,18,"Rs. 5,999",Vase Ceramic
HD-011-VASE,Hyderabad,9,0,,12,"5,999.00",Vase Ceramic
HD-011-VASE,Chennai,35,0,0.6,18,5999,Vase Ceramic
HD-011-VASE,Kolkata,4,0,0.6,12,"Rs. 5,999",Vase Ceramic
HD-011-VASE,Pune,41,0,0.8,25,5999,Vase Ceramic
HD-011-VASE,Ahmedabad,2,0,0.6,12,5999,Vase Ceramic
HD-011-VASE,Jaipur,22,0,1.0,18,"₹5,999",Vase Ceramic
HD-011-VASE,Lucknow,0,0,0.1,25,5999,Vase Ceramic
HD-011-VASE,Surat,15, 11 ,1.2,12,5999,Vase Ceramic
HD-011-VASE,Indore,4.5,0,0.4,18,"5,999.00",Vase Ceramic
HD-012-VASE,Mumbai,(2),2,0.3,12,"₹2,999",Vase Ceramic
HD-012-VASE,Delhi,0,0,0.5,25,"₹2,999",Vase Ceramic
HD-012-VASE,Bengaluru,39,0,0.9,25,2999,Vase Ceramic
HD-012-VASE,Hyderabad,21,0,0,18,"₹2,999",Vase Ceramic
HD-012-VASE,Chennai,37,0,1.1,12,2999,Vase Ceramic
HD-012-VASE,Kolkata,18,0,0.3,18,2999,Vase Ceramic
HD-012-VASE,Pune, 47 ,0,0.9,25,2999,Vase Ceramic
HD-012-VASE,Ahmedabad,1,0,0.5,12,"₹2,999",Vase Ceramic
HD-012-VASE,Jaipur,58,0,0.8,25,"₹2,999",Vase Ceramic
HD-012-VASE,Lucknow,12,3,0.2,25,"2,999.00",Vase Ceramic
HD-012-VASE,Surat,13,0,0.4,25,2999,Vase Ceramic
HD-012-VASE,Indore,15,0,0.3,18,2999,Vase Ceramic
HD-013-VASE,Mumbai,54,0,1.0,25,2999,Vase Ceramic
HD-013-VASE,Mumbai,54,0,1.0,25,2999,Vase Ceramic
HD-013-VASE,Delhi,80,0,1.2,25,"2,999.00",Vase Ceramic
HD-013-VASE,Bengaluru,6,0,0.3,18,N/A,Vase Ceramic
HD-013-VASE,Hyderabad,10,0,0.7,25,2999,Vase Ceramic
HD-013-VASE,Chennai,20,0,0,25,2999,Vase Ceramic
HD-013-VASE,Kolkata,0,0,0.3,12,2999,Vase Ceramic
,Pune,0,0,0.1,18,"2,999.00",Vase Ceramic
HD-013-VASE,Ahmedabad,20,0,0.9,18,2999,Vase Ceramic
HD-013-VASE,Jaipur, 6 ,0,0.3,12,2999,Vase Ceramic
HD-013-VASE,Lucknow,13,19,0.7,25,"Rs. 2,999",Vase Ceramic
HD-013-VASE,Surat,0,0,0.0,25,2999,Vase Ceramic
HD-013-VASE,Indore,0,1,0.2,12,"₹2,999",Vase Ceramic
HD-014-VASE,Mumbai,11,0,0.4,12,"₹5,999",Vase Ceramic
HD-014-VASE,Delhi,12,0,1.1,25,5999,Vase Ceramic
HD-014-VASE,Bengaluru,15,0,1.1,25,5999,Vase Ceramic
HD-014-VASE,Hyderabad,11,0,0.3,12,5999,Vase Ceramic
HD-014-VASE,Chennai,54,0,0.8,25,5999,Vase Ceramic
HD-014-VASE,Kolkata,19,0,0,18,5999,Vase Ceramic
HD-014-VASE,Pune,16,11,0.8,25,5999,Vase Ceramic
HD-014-VASE,Ahmedabad,45,0,0.9,18,"₹5,999",Vase Ceramic
HD-014-VASE,Jaipur,8,16,0.9,18,"₹5,999",Vase Ceramic
HD-014-VASE,Lucknow,23,0,0.9,12,"5,999.00",Vase Ceramic
HD-014-VASE,Surat,13,2,0.4,12,"₹5,999",Vase Ceramic
HD-014-VASE,Indore,8,0,0.5,12,5999,Vase Ceramic
HD-015-WALL,Mumbai,17,0,0.4,18,"₹2,999",Wall Clock Oak
HD-015-WALL,Delhi,22,7,0.6,12,"Rs. 2,999",Wall Clock Oak
HD-015-WALL,Bengaluru,24,4,0.4,25,"2,999.00",Wall Clock Oak
HD-015-WALL,Hyderabad,16,0,0.5,18,2999,Wall Clock Oak
HD-015-WALL,Chennai,0,0,0.0,25,2999,Wall Clock Oak
HD-015-WALL,Kolkata,5,4,0.4,12,2999,Wall Clock Oak
HD-015-WALL,Pune,47,15,0,18,2999,Wall Clock Oak
HD-015-WALL,Ahmedabad,26,0,0.7,18,"Rs. 2,999",Wall Clock Oak
HD-015-WALL,Jaipur,6,-20,0.5,18,"₹2,999",Wall Clock Oak
HD-015-WALL,Lucknow,3,0,0.2,25,2999,Wall Clock Oak
HD-015-WALL,Surat,34,25,1.2,18,2999,Wall Clock Oak
HD-015-WALL,Indore,8,0,0.6,18,2999,Wall Clock Oak
HD-016-WALL,Mumbai,24,0,0.7,12,1499,Wall Clock Oak
HD-016-WALL,Delhi,43,0,0.7,,1499,Wall Clock Oak
HD-016-WALL,Bengaluru,5,10,1.1,12,1499,Wall Clock Oak
HD-016-WALL,Hyderabad,3,0,0.1,12,"1,499.00",Wall Clock Oak
HD-016-WALL,Chennai,22.5,0,1.0,18,"Rs. 1,499",Wall Clock Oak
HD-016-WALL,Kolkata,16,0,0.3,25,"1,499.00",Wall Clock Oak
HD-016-WALL,Pune,62,14,0.9,25,"Rs. 1,499",Wall Clock Oak
HD-016-WALL,Ahmedabad,11,24,0,25,"₹1,499",Wall Clock Oak
HD-016-WALL,Jaipur,12,0,0.7,18,1499,Wall Clock Oak
HD-016-WALL,Lucknow,11,0,0.2,25,"₹1,499",Wall Clock Oak
HD-016-WALL,Surat,0,0,0.0,12,"₹1,499",Wall Clock Oak
HD-016-WALL,Indore,11,4,0.2,25,"₹1,499",Wall Clock Oak
HD-017-WALL,Mumbai,43,0,1.2,25,2999,Wall Clock Oak
HD-017-WALL,Delhi,20,9,0.7,25,2999,Wall Clock Oak
HD-017-WALL,Bengaluru,32,0,0.8,12,"Rs. 2,999",Wall Clock Oak
HD-017-WALL,Hyderabad,17,0,0.4,18,"₹2,999",Wall Clock Oak
HD-017-WALL,Chennai,10,20,0.9,18 days,2999,Wall Clock Oak
HD-017-WALL,Kolkata,0,0,0.0,12,2999,Wall Clock Oak
HD-017-WALL,Pune,67,0,0.9,25,2999,Wall Clock Oak
HD-017-WALL,Ahmedabad,32,0,1.1,18,"₹2,999",Wall Clock Oak
HD-017-WALL,Jaipur,20,0,0,18,"Rs. 2,999",Wall Clock Oak
HD-017-WALL,Lucknow,0,0,0.0,12,"Rs. 2,999",Wall Clock Oak
HD-017-WALL,Surat, 30 ,12,1.1,12,2999,Wall Clock Oak
HD-017-WALL,Indore, 13 ,9,0.7,12,2999,Wall Clock Oak
HD-018-WALL,Mumbai,4,0,1.0,12,5999,Wall Clock Oak
HD-018-WALL,Delhi,11,0,0.5,12,N/A,Wall Clock Oak
HD-018-WALL,Bengaluru,4,0,,25,"5,999.00",Wall Clock Oak
HD-018-WALL,Hyderabad,45,0,0.8,18,"₹5,999",Wall Clock Oak
HD-018-WALL,Chennai,46,0,0.9,18,5999,Wall Clock Oak
HD-018-WALL,Kolkata,18,5,0.5,18,5999,Wall Clock Oak
HD-018-WALL,Pune,1,0,0.6,12,5999,Wall Clock Oak
HD-018-WALL,Ahmedabad,11,0,0.3,12,"Rs. 5,999",Wall Clock Oak
HD-018-WALL,Jaipur,0,0,0.0,12,5999,Wall Clock Oak
HD-018-WALL,Lucknow,29,6,0,18,5999,Wall Clock Oak
HD-018-WALL,Surat,2,0,0.6,12,5999,Wall Clock Oak
HD-018-WALL,Indore,25,0,0.7,12,"₹5,999",Wall Clock Oak
HD-019-WALL,Mumbai,22,0,1.1,12,₹399,Wall Clock Oak
HD-019-WALL,Delhi,44,0,0.6,25,₹399,Wall Clock Oak
HD-019-WALL,Bengaluru,20,0,0.6,18,399,Wall Clock Oak
HD-019-WALL,Hyderabad,44,0,0.7,25,Rs. 399,Wall Clock Oak
HD-019-WALL,Chennai,29,0,1.0,18,399,Wall Clock Oak
HD-019-WALL,Kolkata,(1),11,0.9,12,Rs. 399,Wall Clock Oak
HD-019-WALL,Pune,20,0,0.8,18,₹399,Wall Clock Oak
HD-019-WALL,Ahmedabad, 2 ,0,0.3,12,399,Wall Clock Oak
HD-019-WALL,Jaipur,5,0,1.1,12,399,Wall Clock Oak
HD-019-WALL,Lucknow,13,0,1.0,18,399,Wall Clock Oak
HD-019-WALL,Surat, 11 ,0,0,25,Rs. 399,Wall Clock Oak
HD-019-WALL,Indore,43,11,0.6,25,₹399,Wall Clock Oak
HD-020-WALL,Mumbai,4,3,0.4,18,1499,Wall Clock Oak
HD-020-WALL,Delhi,1,2,0.2,12,1499,Wall Clock Oak
HD-020-WALL,Bengaluru,19,0,1.2,18,1499,Wall Clock Oak
HD-020-WALL,Hyderabad,53,0,0.8,25,"Rs. 1,499",Wall Clock Oak
HD-020-WALL,Chennai,17,0,0.9,12,"₹1,499",Wall Clock Oak
HD-020-WALL,Kolkata,6,10,0.7,12,1499,Wall Clock Oak
HD-020-WALL,Pune,10,0,0.5,18,1499,Wall Clock Oak
HD-020-WALL,Ahmedabad,13,4,0.2,25,1499,Wall Clock Oak
HD-020-WALL,Jaipur,28,0,0.6,18,1499,Wall Clock Oak
HD-020-WALL,Lucknow,17.5,0,0.6,25,"₹1,499",Wall Clock Oak
HD-020-WALL,Surat,5,0,0.1,25,1499,Wall Clock Oak
HD-020-WALL,Indore,11,0,0,25,1499,Wall Clock Oak
HD-021-WALL,Mumbai,12,15,1.0,18,399,Wall Clock Oak
HD-021-WALL,Delhi,0,0,0.1,12,Rs. 399,Wall Clock Oak
HD-021-WALL,Delhi,0,0,0.1,12,Rs. 399,Wall Clock Oak
HD-021-WALL,Bengaluru,59,0,0.7,25,399.00,Wall Clock Oak
HD-021-WALL,Hyderabad,13,0,0.9,18,Rs. 399,Wall Clock Oak
HD-021-WALL,Chennai,9,0,0.4,12,Rs. 399,Wall Clock Oak
HD-021-WALL,Kolkata,55,0,1.1,18,Rs. 399,Wall Clock Oak
HD-021-WALL,Pune,8,0,0.2,25,399,Wall Clock Oak
HD-021-WALL,Ahmedabad, 0 ,-19,0.0,18,399,Wall Clock Oak
HD-021-WALL,Jaipur,14,0,0.5,18,₹399,Wall Clock Oak
HD-021-WALL,Lucknow,2,0,0.1,12,399,Wall Clock Oak
HD-021-WALL,Surat,3,17,0.9,18,399,Wall Clock Oak
,Indore,21,0,0.9,12,399,Wall Clock Oak
HD-022-LAMP,Mumbai,32,0,0,25,Rs. 799,Lamp Brass
HD-022-LAMP,Delhi,3,0,0.6,18,799.00,Lamp Brass
HD-022-LAMP,Bengaluru,35,7,1.1,,799,Lamp Brass
HD-022-LAMP,Hyderabad,29,0,0.6,25,₹799,Lamp Brass
HD-022-LAMP,Chennai,37,0,1.1,18,799,Lamp Brass
HD-022-LAMP,Kolkata,8,4,0.2,18,₹799,Lamp Brass
HD-022-LAMP,Pune,0,0,0.0,18,799,Lamp Brass
HD-022-LAMP,Ahmedabad,35,20,0.9,18,799,Lamp Brass
HD-022-LAMP,Jaipur, 9 ,0,0.5,18,₹799,Lamp Brass
HD-022-LAMP,Lucknow,0,0,0.0,12,Rs. 799,Lamp Brass
HD-022-LAMP,Surat,1,0,0.5,25,Rs. 799,Lamp Brass
HD-022-LAMP,Indore, 43 ,23,1.1,18,₹799,Lamp Brass
HD-023-LAMP,Mumbai,5,0,0.8,18,N/A,Lamp Brass
HD-023-LAMP,Delhi,24,0,0,25,5999,Lamp Brass
HD-023-LAMP,Bengaluru,16,0,1.1,18,"₹5,999",Lamp Brass
HD-023-LAMP,Hyderabad,0,0,0.0,25,"Rs. 5,999",Lamp Brass
HD-023-LAMP,Chennai,4,0,0.1,18,"5,999.00",Lamp Brass
HD-023-LAMP,Kolkata, 11 ,0,0.4,18,"5,999.00",Lamp Brass
HD-023-LAMP,Pune,2,0,0.1,25,"Rs. 5,999",Lamp Brass
HD-023-LAMP,Ahmedabad,15,9,0.3,25,"₹5,999",Lamp Brass
HD-023-LAMP,Jaipur, 16 ,0,0.3,25,"₹5,999",Lamp Brass
HD-023-LAMP,Lucknow,12,0,0.4,25,5999,Lamp Brass
HD-023-LAMP,Surat,4,0,0.9,12,5999,Lamp Brass
HD-023-LAMP,Indore,38,8,0.6,25 days,5999,Lamp Brass
HD-024-LAMP,Mumbai,22,4,0.3,25,₹399,Lamp Brass
HD-024-LAMP,Delhi,15,0,0.5,25,399,Lamp Brass
HD-024-LAMP,Bengaluru,37,6,0,18,₹399,Lamp Brass
HD-024-LAMP,Hyderabad, 5 ,0,0.6,12,Rs. 399,Lamp Brass
HD-024-LAMP,Chennai,10,8,0.6,25,399,Lamp Brass
HD-024-LAMP,Kolkata,23,0,0.9,25,399,Lamp Brass
HD-024-LAMP,Pune,6,2,0.2,12,399,Lamp Brass
HD-024-LAMP,Ahmedabad,14,0,0.4,18,399,Lamp Brass
HD-024-LAMP,Jaipur,27,0,0.5,18,₹399,Lamp Brass
HD-024-LAMP,Lucknow,6,0,0.1,25,₹399,Lamp Brass
HD-024-LAMP,Surat,53,0,0.7,25,399,Lamp Brass
HD-024-LAMP,Indore,45,0,1.2,12,Rs. 399,Lamp Brass
HD-025-LAMP,Mumbai,13,0,0.3,18,"Rs. 5,999",Lamp Brass
HD-025-LAMP,Delhi,35,0,,18,5999,Lamp Brass
HD-025-LAMP,Bengaluru,40.5,13,1.0,25,"₹5,999",Lamp Brass
HD-025-LAMP,Hyderabad, 3 ,5,0,18,5999,Lamp Brass
HD-025-LAMP,Chennai,17,0,1.0,25,"₹5,999",Lamp Brass
HD-025-LAMP,Kolkata,51,0,0.8,25,"₹5,999",Lamp Brass
HD-025-LAMP,Pune,23,0,0.9,25,5999,Lamp Brass
HD-025-LAMP,Ahmedabad,14,4,0.2,25,"₹5,999",Lamp Brass
HD-025-LAMP,Jaipur,42,0,1.0,25,"Rs. 5,999",Lamp Brass
HD-025-LAMP,Lucknow,1,0,0.7,12,5999,Lamp Brass
HD-025-LAMP,Surat,44,0,0.7,25,5999,Lamp Brass
HD-025-LAMP,Indore,19,5,0.6,12,"₹5,999",Lamp Brass
HD-026-LAMP,Mumbai,5,0,0.1,18,2999,Lamp Brass
HD-026-LAMP,Delhi,23,0,0.7,12,2999,Lamp Brass
HD-026-LAMP,Bengaluru,1,0,1.1,18,"2,999.00",Lamp Brass
HD-026-LAMP,Hyderabad,21,16,1.2,12,"₹2,999",Lamp Brass
HD-026-LAMP,Chennai,29,0,0,25,"2,999.00",Lamp Brass
HD-026-LAMP,Kolkata, 6 ,2,0.2,12,2999,Lamp Brass
HD-026-LAMP,Pune,4,0,0.2,18,2999,Lamp Brass
HD-026-LAMP,Ahmedabad,18, 29 ,1.2,18,"₹2,999",Lamp Brass
HD-026-LAMP,Jaipur, 68 ,0,1.2,18,"Rs. 2,999",Lamp Brass
HD-026-LAMP,Lucknow,40,0,0.9,18,"₹2,999",Lamp Brass
HD-026-LAMP,Surat,(3),1,0.2,12,2999,Lamp Brass
HD-026-LAMP,Indore,49,0,1.0,18,2999,Lamp Brass
HD-027-LAMP,Mumbai,16,0,0.4,25,799,Lamp Brass
HD-027-LAMP,Delhi,18,11,0.9,18,Rs. 799,Lamp Brass
HD-027-LAMP,Bengaluru,16,0,0.6,12,799,Lamp Brass
HD-027-LAMP,Hyderabad,5,22,0.9,18,₹799,Lamp Brass
HD-027-LAMP,Chennai,6,0,0.8,18,799,Lamp Brass
HD-027-LAMP,Kolkata,33,0,0,25,799,Lamp Brass
HD-027-LAMP,Pune,13,-12,0.4,25,₹799,Lamp Brass
HD-027-LAMP,Ahmedabad,1,3,0.4,12,799,Lamp Brass
HD-027-LAMP,Jaipur, 0 ,0,0.0,18,₹799,Lamp Brass
HD-027-LAMP,Lucknow,4,3,0.1,25,799,Lamp Brass
HD-027-LAMP,Surat,0,12,0.6,25,₹799,Lamp Brass
HD-027-LAMP,Indore,37,0,0.9,18,N/A,Lamp Brass
HD-028-LAMP,Mumbai,8,0,0.3,12,₹399,Lamp Brass
HD-028-LAMP,Delhi,7,6,0.3,18,₹399,Lamp Brass
HD-028-LAMP,Bengaluru,1,0,0.1,12,399,Lamp Brass
HD-028-LAMP,Hyderabad,6,0,0.1,,399,Lamp Brass
HD-028-LAMP,Chennai,14,0,0.5,18,399,Lamp Brass
HD-028-LAMP,Kolkata,18,0,0.4,25,Rs. 399,Lamp Brass
HD-028-LAMP,Pune,60,0,0,25,399,Lamp Brass
HD-028-LAMP,Ahmedabad,7,0,0.8,18,₹399,Lamp Brass
HD-028-LAMP,Jaipur,2,0,0.2,12,₹399,Lamp Brass
HD-028-LAMP,Lucknow,55,0,1.1,18,399,Lamp Brass
HD-028-LAMP,Surat,82,28,1.2,25,399,Lamp Brass
HD-028-LAMP,Indore,14,0,0.5,25,399,Lamp Brass
HD-029-RUG,Mumbai,44,0,0.7,25,2999,Rug Jute 4x6
HD-029-RUG,Delhi,44,0,0.8,18,"Rs. 2,999",Rug Jute 4x6
HD-029-RUG,Bengaluru,14,0,1.1,12,"₹2,999",Rug Jute 4x6
HD-029-RUG,Bengaluru,14,0,1.1,12,"₹2,999",Rug Jute 4x6
HD-029-RUG,Hyderabad,4,10,0.7,18,"₹2,999",Rug Jute 4x6
HD-029-RUG,Chennai,47,0,0.9,25,2999,Rug Jute 4x6
HD-029-RUG,Kolkata,6,5,0.4,12,2999,Rug Jute 4x6
HD-029-RUG,Pune,1,0,0.1,12,2999,Rug Jute 4x6
HD-029-RUG,Ahmedabad,11.5,0,0,25,"Rs. 2,999",Rug Jute 4x6
HD-029-RUG,Jaipur,26,0,1.1,12,2999,Rug Jute 4x6
HD-029-RUG,Lucknow,12,0,0.8,18,2999,Rug Jute 4x6
HD-029-RUG,Surat,7,3,0.2,18,2999,Rug Jute 4x6
HD-029-RUG,Indore,6,2,0.2,18,"₹2,999",Rug Jute 4x6
HD-030-RUG,Mumbai,3,0,0.1,18,₹799,Rug Jute 4x6
HD-030-RUG,Delhi,2,2,0.1,25,799,Rug Jute 4x6
HD-030-RUG,Bengaluru,0,0,0.0,18,799,Rug Jute 4x6
HD-030-RUG,Hyderabad,7,0,0.1,25,₹799,Rug Jute 4x6
,Chennai,39,0,1.1,25,799,Rug Jute 4x6
HD-030-RUG,Kolkata,33,0,1.1,12,₹799,Rug Jute 4x6
