Item Code,Outlet,stock_qty,inbound,daily_sales,supplier_lead_time,unit_cost,Model,Case Pack,Expected Receipt Date
EL-POW-004,Indore,240,0,4.0,20,1299,PowerBank 10K,,
EL-POW-004,Nagpur,21,0,3.8,15,"₹1,299",PowerBank 10K,12,
EL-POW-004,Kochi, 11 ,0,0.5,15,1299,PowerBank 10K,6,
EL-POW-004,Chandigarh,220,0,4.1,30,"₹1,299",PowerBank 10K,24,
EL-POW-004,Bhopal,33,132,1.1,20,1299,PowerBank 10K,,
EL-POW-004,Patna,112,61,3.8,15,1299,PowerBank 10K,24,2026-08-23
EL-POW-004,Vadodara,22,0,1.2,15,"Rs. 1,299",PowerBank 10K,,
EL-POW-005,Mumbai,10,5,0.3,30,"₹1,299",PowerBank 10K,12,2026-08-25
EL-POW-005,Delhi,52,0,1.2,15,"₹1,299",PowerBank 10K,24,
EL-POW-005,Bengaluru,39,0,1.9,15,1299,PowerBank 10K,6,
EL-POW-005,Hyderabad,16,0,0.4,20,"₹1,299",PowerBank 10K,24,
EL-POW-005,Chennai,138,0,3.9,20,1299,PowerBank 10K,24,
EL-POW-005,Kolkata,79,0,3.8,15,"₹1,299",PowerBank 10K,24,
EL-POW-005,Pune,85.5,49,1.4,30,"1,299.00",PowerBank 10K,6,2026-08-17
EL-POW-005,Ahmedabad,54,0,1.0,30,"₹1,299",PowerBank 10K,24,
EL-POW-005,Jaipur,1,0,0.7,15,"₹1,299",PowerBank 10K,12,
EL-POW-005,Lucknow,44,0,0.9,30,1299,PowerBank 10K,12,
EL-POW-005,Surat,25,0,0.7,15,"Rs. 1,299",PowerBank 10K,24,
EL-POW-005,Indore,146,0,3.7,15,"₹1,299",PowerBank 10K,12,
EL-POW-005,Nagpur,59, 149 ,4.8,30,1299,PowerBank 10K,6,2026-08-25
EL-POW-005,Kochi,18,0,2.3,15,1299,PowerBank 10K,12,
EL-POW-005,Chandigarh,14,0,1.8,15,"₹1,299",PowerBank 10K,6,
EL-POW-005,Bhopal,187,85,4.3,15,N/A,PowerBank 10K,6,2026-08-28
EL-POW-005,Patna, 151 ,0,4.9,15,"₹1,299",PowerBank 10K,6,
EL-POW-005,Vadodara,132,22,2.6,20,1299,PowerBank 10K,6,2026-09-14
EL-POW-006,Mumbai,195,0,3.8,20,"Rs. 1,299",PowerBank 10K,12,
EL-POW-006,Delhi,36,0,2.4,30,"₹1,299",PowerBank 10K,12,
EL-POW-006,Bengaluru,230,0,3.9,20,1299,PowerBank 10K,12,
EL-POW-006,Hyderabad,239,0,2.8,30,"1,299.00",PowerBank 10K,12,
EL-POW-006,Chennai,187,51,3.4,30,"1,299.00",PowerBank 10K,,2026-08-21
EL-POW-006,Kolkata,31,15,0.8,15,1299,PowerBank 10K,24,2026-09-20
EL-POW-006,Pune,53,0,2.0,20,1299,PowerBank 10K,12,
EL-POW-006,Ahmedabad,50,0,1.1,20,"1,299.00",PowerBank 10K,,
EL-POW-006,Jaipur,265,0,4.0,30,1299,PowerBank 10K,24,
EL-POW-006,Lucknow,3,4,0.4,15,"₹1,299",PowerBank 10K,12,2026-08-26
EL-POW-006,Surat,74,0,3.5,20,"1,299.00",PowerBank 10K,6,
EL-POW-006,Indore,140,0,4.1,30,"1,299.00",PowerBank 10K,6,
EL-POW-006,Nagpur,85,0,4.9,20,"₹1,299",PowerBank 10K,24,
EL-POW-006,Kochi,156,0,2.9,20,"₹1,299",PowerBank 10K,24,
EL-POW-006,Chandigarh,141,0,4.1,30,"₹1,299",PowerBank 10K,6,
EL-POW-006,Bhopal,118,-11,2.8,15,1299,PowerBank 10K,,
EL-POW-006,Patna,28,0,1.2,20,"₹1,299",PowerBank 10K,6,
EL-POW-006,Vadodara,173,0,2.5,30,1299,PowerBank 10K,24,
EL-POW-007,Mumbai,20,0,2.0,,1299,PowerBank 10K,12,
EL-POW-007,Delhi,48,0,0.6,30,"Rs. 1,299",PowerBank 10K,,
EL-POW-007,Bengaluru,177,0,2.7,20,"₹1,299",PowerBank 10K,6,
EL-POW-007,Hyderabad,148,0,3.2,30,"₹1,299",PowerBank 10K,12,
EL-POW-007,Chennai,100,0,3.7,15,"₹1,299",PowerBank 10K,12,
EL-POW-007,Kolkata,270,0,2.7,30,"₹1,299",PowerBank 10K,6,
EL-POW-007,Pune,76,0,4.3,20,1299,PowerBank 10K,12,
EL-POW-007,Ahmedabad,156,0,3.9,30,1299,PowerBank 10K,6,
EL-POW-007,Jaipur,22,153,1.7,15,"₹1,299",PowerBank 10K,12,
EL-POW-007,Lucknow,10,0,0.4,15 days,1299,PowerBank 10K,,
EL-POW-007,Surat,60,0,3.4,15,1299,PowerBank 10K,,
EL-POW-007,Indore,5,58,4.0,15,1299,PowerBank 10K,12,2026-09-04
EL-POW-007,Nagpur,16,0,3.0,15,1299,PowerBank 10K,12,
EL-POW-007,Kochi,24,64,1.6,30,"₹1,299",PowerBank 10K,6,2026-08-22
EL-POW-007,Chandigarh,34,0,1.3,15,"Rs. 1,299",PowerBank 10K,24,
EL-POW-007,Bhopal,66,0,,30,"₹1,299",PowerBank 10K,24,
EL-POW-007,Patna, 46 ,0,0.9,20,1299,PowerBank 10K,6,
EL-POW-007,Vadodara,3,22,2.0,15,1299,PowerBank 10K,6,2026-09-10
EL-POW-008,Mumbai,6,0,2.3,20,1299,PowerBank 10K,,
EL-POW-008,Delhi,194,0,2.4,30,"1,299.00",PowerBank 10K,6,
EL-POW-008,Bengaluru,64,0,1.9,30,"₹1,299",PowerBank 10K,24,
EL-POW-008,Hyderabad, 16 ,2,0.4,15,"1,299.00",PowerBank 10K,12,2026-08-30
EL-POW-008,Chennai,37,0,4.4,20,"₹1,299",PowerBank 10K,12,
EL-POW-008,Kolkata,248.5,0,3.3,30,"₹1,299",PowerBank 10K,12,
EL-POW-008,Pune,-3,0,3.0,30,"Rs. 1,299",PowerBank 10K,12,
EL-POW-008,Ahmedabad,124,40,1.6,30,1299,PowerBank 10K,24,2026-08-20
EL-POW-008,Jaipur,209,59,4.0,20,"Rs. 1,299",PowerBank 10K,,2026-09-19
EL-POW-008,Lucknow,92,0,1.6,20,"1,299.00",PowerBank 10K,12,
EL-POW-008,Surat,150,0,3.8,30,"₹1,299",PowerBank 10K,,
EL-POW-008,Indore, 184 ,0,3.3,20,1299,PowerBank 10K,12,
EL-POW-008,Nagpur,230,0,3.4,30,1299,PowerBank 10K,24,
EL-POW-008,Kochi,33,0,1.5,20,"Rs. 1,299",PowerBank 10K,24,
EL-POW-008,Chandigarh,215,0,3.3,20,1299,PowerBank 10K,6,
EL-POW-008,Bhopal,138,68,3.3,30,"Rs. 1,299",PowerBank 10K,,2026-08-28
EL-POW-008,Patna,172,0,3.6,30,"1,299.00",PowerBank 10K,12,
EL-POW-008,Vadodara,47,0,1.9,30,1299,PowerBank 10K,,
EL-POW-009,Mumbai,230,0,2.6,30,"₹1,299",PowerBank 10K,12,
EL-POW-009,Mumbai,230,0,2.6,30,"₹1,299",PowerBank 10K,12,
EL-POW-009,Delhi,63,0,4.5,20,"₹1,299",PowerBank 10K,,
EL-POW-009,Bengaluru,115,0,2.6,20,N/A,PowerBank 10K,,
EL-POW-009,Hyderabad,11,0,0.4,20,"1,299.00",PowerBank 10K,,
EL-POW-009,Chennai,83,68,3.6,15,1299,PowerBank 10K,,2026-08-21
EL-POW-009,Kolkata,153,0,4.0,20,1299,PowerBank 10K,12,
,Pune,110,54,2.3,30,"Rs. 1,299",PowerBank 10K,6,2026-08-23
EL-POW-009,Ahmedabad,28,0,4.8,20,"1,299.00",PowerBank 10K,6,
EL-POW-009,Jaipur,37,91,3.7,20,1299,PowerBank 10K,,2026-09-10
EL-POW-009,Lucknow,53,0,1.0,20,"Rs. 1,299",PowerBank 10K,12,
EL-POW-009,Surat,21,0,2.4,30,"1,299.00",PowerBank 10K,12,
EL-POW-009,Indore,76,0,2.2,20,"₹1,299",PowerBank 10K,24,
EL-POW-009,Nagpur,233,0,4.7,30,"₹1,299",PowerBank 10K,12,
EL-POW-009,Kochi,315,120,5.0,30,1299,PowerBank 10K,24,2026-08-30
EL-POW-009,Chandigarh,5,0,2.0,15,"₹1,299",PowerBank 10K,24,
EL-POW-009,Bhopal,149,94,3.9,20,"1,299.00",PowerBank 10K,24,2026-08-20
EL-POW-009,Patna,38,131,3.2,30,"₹1,299",PowerBank 10K,12,2026-08-21
EL-POW-009,Vadodara,86,0,3.4,30,"₹1,299",PowerBank 10K,6,
EL-POW-010,Mumbai,112,0,1.6,30,"₹1,299",PowerBank 10K,12,
EL-POW-010,Delhi,124,468,3.9,20,"₹1,299",PowerBank 10K,24,
EL-POW-010,Bengaluru,18,0,0.4,15,"₹1,299",PowerBank 10K,12,
EL-POW-010,Hyderabad,9,0,2.8,15,1299,PowerBank 10K,,
EL-POW-010,Chennai,59,0,4.9,30,"1,299.00",PowerBank 10K,,
EL-POW-010,Kolkata,0,0,0.5,20,"Rs. 1,299",PowerBank 10K,12,
EL-POW-010,Pune,29,0,0.5,30,"₹1,299",PowerBank 10K,12,
EL-POW-010,Ahmedabad,286,0,3.3,30,"1,299.00",PowerBank 10K,6,
EL-POW-010,Jaipur,35,0,1.5,15,"₹1,299",PowerBank 10K,6,
EL-POW-010,Lucknow,10,8,1.1,15,1299,PowerBank 10K,6,2026-08-18
EL-POW-010,Surat,47,0,0.7,20,"Rs. 1,299",PowerBank 10K,24,
EL-POW-010,Indore,311,0,3.4,30,"1,299.00",PowerBank 10K,24,
EL-POW-010,Nagpur,47,0,1.2,15,1299,PowerBank 10K,,
EL-POW-010,Kochi, 44 ,0,1.5,15,1299,PowerBank 10K,6,
EL-POW-010,Chandigarh,30,-17,4.9,15,"₹1,299",PowerBank 10K,6,
EL-POW-010,Bhopal,318,0,3.6,30,"Rs. 1,299",PowerBank 10K,12,
EL-POW-010,Patna,148,0,3.0,15,"Rs. 1,299",PowerBank 10K,12,
EL-POW-010,Vadodara,115,66,1.8,30,1299,PowerBank 10K,,2026-09-24
EL-TWS-011,Mumbai,174,0,4.0,20,2999,TWS Buds Pro,6,
EL-TWS-011,Delhi,77,0,3.3,,"2,999.00",TWS Buds Pro,6,
EL-TWS-011,Bengaluru,56,157,4.1,30,"₹2,999",TWS Buds Pro,,2026-09-27
EL-TWS-011,Hyderabad,136,0,5.0,20,"Rs. 2,999",TWS Buds Pro,12,
EL-TWS-011,Chennai,36.5,0,0.6,20,"₹2,999",TWS Buds Pro,,
EL-TWS-011,Kolkata,68,26,1.7,20,2999,TWS Buds Pro,,2026-09-03
EL-TWS-011,Pune,47,0,1.3,15,"Rs. 2,999",TWS Buds Pro,12,
EL-TWS-011,Ahmedabad,119,0,2.7,30,"₹2,999",TWS Buds Pro,24,
EL-TWS-011,Jaipur,27,37,2.4,20,2999,TWS Buds Pro,6,2026-09-06
EL-TWS-011,Lucknow,169,0,3.8,20,2999,TWS Buds Pro,6,
EL-TWS-011,Surat,52,0,1.9,20,2999,TWS Buds Pro,12,
EL-TWS-011,Indore,134,0,2.7,15,2999,TWS Buds Pro,,
EL-TWS-011,Nagpur,206,0,2.1,30,2999,TWS Buds Pro,24,
EL-TWS-011,Kochi,59,50,3.7,20,"2,999.00",TWS Buds Pro,,2026-08-26
EL-TWS-011,Chandigarh,57,0,2.1,15,"Rs. 2,999",TWS Buds Pro,6,
EL-TWS-011,Bhopal,205,0,4.2,15,2999,TWS Buds Pro,24,
EL-TWS-011,Patna,237,0,4.9,15 days,2999,TWS Buds Pro,,
EL-TWS-011,Vadodara,22, 24 ,1.3,15,"Rs. 2,999",TWS Buds Pro,24,2026-09-15
EL-TWS-012,Mumbai,67,0,1.6,15,2999,TWS Buds Pro,12,
EL-TWS-012,Delhi,2,0,1.0,30,2999,TWS Buds Pro,6,
EL-TWS-012,Bengaluru,39,0,0.7,20,2999,TWS Buds Pro,12,
EL-TWS-012,Hyderabad,198,0,4.2,20,"2,999.00",TWS Buds Pro,,
EL-TWS-012,Chennai,242,0,3.2,30,2999,TWS Buds Pro,,
EL-TWS-012,Kolkata,121, 67 ,2.7,20,"₹2,999",TWS Buds Pro,6,2026-09-08
EL-TWS-012,Pune,54,0,2.0,15,2999,TWS Buds Pro,,
EL-TWS-012,Ahmedabad,276,0,4.6,30,N/A,TWS Buds Pro,12,
EL-TWS-012,Jaipur,22,0,,20,"2,999.00",TWS Buds Pro,24,
EL-TWS-012,Lucknow,16,0,0.6,15,"Rs. 2,999",TWS Buds Pro,6,
EL-TWS-012,Surat,58,46,3.1,20,2999,TWS Buds Pro,6,2026-08-29
EL-TWS-012,Indore,28,5,0.4,30,2999,TWS Buds Pro,12,2026-09-14
EL-TWS-012,Nagpur,280,900,5.0,30,"2,999.00",TWS Buds Pro,6,
EL-TWS-012,Kochi,34,0,0.8,20,2999,TWS Buds Pro,24,
EL-TWS-012,Chandigarh,189,0,4.8,15,2999,TWS Buds Pro,24,
EL-TWS-012,Bhopal,119,0,4.1,20,2999,TWS Buds Pro,6,
EL-TWS-012,Patna, 41 ,0,1.8,20,"2,999.00",TWS Buds Pro,12,
EL-TWS-012,Vadodara,99,0,4.0,15,2999,TWS Buds Pro,6,
EL-TWS-013,Mumbai,35,0,1.0,20,"2,999.00",TWS Buds Pro,6,
EL-TWS-013,Delhi, 186 ,0,3.2,20,2999,TWS Buds Pro,12,
EL-TWS-013,Bengaluru,9,0,2.3,15,"₹2,999",TWS Buds Pro,,
EL-TWS-013,Hyderabad,227,0,4.9,30,2999,TWS Buds Pro,,
EL-TWS-013,Chennai,70,0,3.4,15,"₹2,999",TWS Buds Pro,24,
EL-TWS-013,Kolkata,-5,0,1.3,30,"Rs. 2,999",TWS Buds Pro,,
EL-TWS-013,Pune,175,0,4.2,15,2999,TWS Buds Pro,12,
EL-TWS-013,Ahmedabad,44,21,1.2,30,"₹2,999",TWS Buds Pro,12,2026-08-30
EL-TWS-013,Jaipur,88,0,2.0,15,"Rs. 2,999",TWS Buds Pro,,
EL-TWS-013,Lucknow,35,25,0.8,30,2999,TWS Buds Pro,24,2026-08-18
EL-TWS-013,Surat,68,0,1.9,15,"Rs. 2,999",TWS Buds Pro,24,
EL-TWS-013,Indore,1,0,1.6,20,"Rs. 2,999",TWS Buds Pro,12,
EL-TWS-013,Nagpur,52,38,2.5,15,"₹2,999",TWS Buds Pro,6,2026-08-21
EL-TWS-013,Kochi,343,0,3.5,30,"₹2,999",TWS Buds Pro,24,
EL-TWS-013,Chandigarh,3,0,2.6,15,"2,999.00",TWS Buds Pro,,
EL-TWS-013,Bhopal,233,0,2.4,30,2999,TWS Buds Pro,12,
EL-TWS-013,Patna,93,0,1.4,20,"₹2,999",TWS Buds Pro,12,
EL-TWS-013,Vadodara,29,0,4.1,15,2999,TWS Buds Pro,12,
EL-TWS-014,Mumbai,149,55,4.3,15,2999,TWS Buds Pro,6,2026-08-27
EL-TWS-014,Delhi,45,0,1.1,30,"2,999.00",TWS Buds Pro,12,
EL-TWS-014,Bengaluru,11,0,0.5,15,2999,TWS Buds Pro,,
EL-TWS-014,Hyderabad,75.5,0,2.6,15,"₹2,999",TWS Buds Pro,24,
EL-TWS-014,Chennai,123,0,4.1,30,2999,TWS Buds Pro,24,
EL-TWS-014,Kolkata,105,66,2.4,20,"₹2,999",TWS Buds Pro,12,2026-09-04
EL-TWS-014,Pune,28,12,0.6,30,"₹2,999",TWS Buds Pro,,2026-08-21
EL-TWS-014,Ahmedabad,170,0,4.0,20,2999,TWS Buds Pro,12,
EL-TWS-014,Ahmedabad,170,0,4.0,20,2999,TWS Buds Pro,12,
EL-TWS-014,Jaipur,179,0,2.8,20,"Rs. 2,999",TWS Buds Pro,,
EL-TWS-014,Lucknow,55,0,1.0,20,"2,999.00",TWS Buds Pro,6,
EL-TWS-014,Surat,136,0,4.6,15,"₹2,999",TWS Buds Pro,,
EL-TWS-014,Indore,407,0,4.5,30,"2,999.00",TWS Buds Pro,24,
EL-TWS-014,Nagpur,25,0,2.0,20,"Rs. 2,999",TWS Buds Pro,,
EL-TWS-014,Kochi,147,-5,2.8,20,2999,TWS Buds Pro,24,
EL-TWS-014,Chandigarh,53,0,3.0,15,2999,TWS Buds Pro,,
EL-TWS-014,Bhopal,0,0,0.6,15,2999,TWS Buds Pro,6,
EL-TWS-014,Patna,172,0,4.3,15,"₹2,999",TWS Buds Pro,6,
,Vadodara,34,0,2.6,15,2999,TWS Buds Pro,24,
EL-TWS-015,Mumbai,11,0,3.0,30,"₹2,999",TWS Buds Pro,6,
EL-TWS-015,Delhi,8,0,4.3,15,2999,TWS Buds Pro,24,
EL-TWS-015,Bengaluru,112,0,3.7,,2999,TWS Buds Pro,6,
EL-TWS-015,Hyderabad,30,0,1.2,20,2999,TWS Buds Pro,24,
EL-TWS-015,Chennai,123,0,1.3,30,2999,TWS Buds Pro,6,
EL-TWS-015,Kolkata,137,420,3.5,20,2999,TWS Buds Pro,24,
EL-TWS-015,Pune,12,0,0.8,30,2999,TWS Buds Pro,24,
EL-TWS-015,Ahmedabad,28,0,1.1,20,"₹2,999",TWS Buds Pro,6,
EL-TWS-015,Jaipur,183,85,5.0,15,2999,TWS Buds Pro,12,2026-09-25
EL-TWS-015,Lucknow,182,38,2.9,20,2999,TWS Buds Pro,,2026-08-28
EL-TWS-015,Surat,96,0,1.4,30,"₹2,999",TWS Buds Pro,,
EL-TWS-015,Indore,24,0,0.4,20,"2,999.00",TWS Buds Pro,6,
EL-TWS-015,Nagpur,240,52,3.0,30,N/A,TWS Buds Pro,,2026-08-17
EL-TWS-015,Kochi,35,0,2.2,20,2999,TWS Buds Pro,24,
EL-TWS-015,Chandigarh,8,0,0.7,15,"2,999.00",TWS Buds Pro,6,
EL-TWS-015,Bhopal,21,0,0.3,30,2999,TWS Buds Pro,,
EL-TWS-015,Patna,101,0,1.6,30,"2,999.00",TWS Buds Pro,12,
EL-TWS-015,Vadodara,27,45,3.8,20,"2,999.00",TWS Buds Pro,24,2026-09-07
EL-TWS-016,Mumbai,9,36,1.5,20,"₹2,999",TWS Buds Pro,12,2026-08-23
EL-TWS-016,Delhi,183,0,4.8,30,2999,TWS Buds Pro,24,
EL-TWS-016,Bengaluru,90,0,2.5,20,2999,TWS Buds Pro,24,
EL-TWS-016,Hyderabad,188,29,4.3,15,"₹2,999",TWS Buds Pro,6,2026-08-26
EL-TWS-016,Chennai,158,0,3.2,20,2999,TWS Buds Pro,,
EL-TWS-016,Kolkata,213,0,4.4,30 days,2999,TWS Buds Pro,6,
EL-TWS-016,Pune,81,0,2.2,15,"₹2,999",TWS Buds Pro,6,
EL-TWS-016,Ahmedabad,267,0,3.4,30,"₹2,999",TWS Buds Pro,12,
EL-TWS-016,Jaipur,131,0,3.0,20,"₹2,999",TWS Buds Pro,12,
EL-TWS-016,Lucknow,37,131,4.7,30,"Rs. 2,999",TWS Buds Pro,6,2026-08-20
EL-TWS-016,Surat, 70 ,0,0.8,30,"2,999.00",TWS Buds Pro,24,
EL-TWS-016,Indore, 255 ,0,4.6,20,"₹2,999",TWS Buds Pro,,
EL-TWS-016,Nagpur,49,0,1.0,20,2999,TWS Buds Pro,,
EL-TWS-016,Kochi,65,0,3.8,30,2999,TWS Buds Pro,6,
EL-TWS-016,Chandigarh,59,0,0.7,30,"2,999.00",TWS Buds Pro,6,
EL-TWS-016,Bhopal,16,0,1.4,30,"₹2,999",TWS Buds Pro,12,
EL-TWS-016,Patna,186,0,2.9,20,"2,999.00",TWS Buds Pro,,
EL-TWS-016,Vadodara, 24 ,0,1.0,15,"₹2,999",TWS Buds Pro,24,
EL-TWS-017,Mumbai,53,0,2.1,20,"₹2,999",TWS Buds Pro,12,
EL-TWS-017,Delhi,36,0,,30,2999,TWS Buds Pro,6,
EL-TWS-017,Bengaluru,45.5,41,1.9,30,"Rs. 2,999",TWS Buds Pro,12,2026-09-15
EL-TWS-017,Hyderabad,17,0,1.1,15,2999,TWS Buds Pro,24,
EL-TWS-017,Chennai,282,117,4.4,30,2999,TWS Buds Pro,,2026-08-19
EL-TWS-017,Kolkata,10,0,2.1,20,2999,TWS Buds Pro,24,
EL-TWS-017,Pune,19,0,0.7,20,2999,TWS Buds Pro,6,
EL-TWS-017,Ahmedabad,130,0,4.2,20,2999,TWS Buds Pro,,
EL-TWS-017,Jaipur, 76 ,0,2.8,30,"Rs. 2,999",TWS Buds Pro,12,
EL-TWS-017,Lucknow,35,48,2.9,15,2999,TWS Buds Pro,,2026-08-24
EL-TWS-017,Surat,95,0,4.0,30,"2,999.00",TWS Buds Pro,24,
EL-TWS-017,Indore,27,0,2.7,15,2999,TWS Buds Pro,12,
EL-TWS-017,Nagpur,81,0,1.5,30,2999,TWS Buds Pro,6,
EL-TWS-017,Kochi,43, 9 ,0.9,15,2999,TWS Buds Pro,24,2026-08-28
EL-TWS-017,Chandigarh,63,22,1.3,15,2999,TWS Buds Pro,6,2026-09-27
EL-TWS-017,Bhopal,154,0,2.9,30,"₹2,999",TWS Buds Pro,12,
EL-TWS-017,Patna,57,168,1.4,20,"2,999.00",TWS Buds Pro,6,
EL-TWS-017,Vadodara,97,0,5.0,15,2999,TWS Buds Pro,12,
EL-TWS-018,Mumbai,35,94,4.5,20,2999,TWS Buds Pro,12,2026-08-19
EL-TWS-018,Delhi,82,0,1.8,15,"Rs. 2,999",TWS Buds Pro,24,
EL-TWS-018,Bengaluru,18,0,0.8,20,"Rs. 2,999",TWS Buds Pro,24,
EL-TWS-018,Hyderabad,115,0,2.5,20,"₹2,999",TWS Buds Pro,12,
EL-TWS-018,Chennai,-2,0,3.2,20,2999,TWS Buds Pro,6,
EL-TWS-018,Kolkata,21,0,4.6,30,"Rs. 2,999",TWS Buds Pro,12,
EL-TWS-018,Pune, 177 ,0,4.6,30,2999,TWS Buds Pro,,
EL-TWS-018,Ahmedabad,31,48,2.1,20,"2,999.00",TWS Buds Pro,,2026-08-26
EL-TWS-018,Jaipur,95,0,2.9,15,"₹2,999",TWS Buds Pro,12,
EL-TWS-018,Lucknow,67,0,3.3,20,2999,TWS Buds Pro,6,
