Design Code,Showroom,Stock,Incoming,Daily Sales,Lead Time,Tag Price,Sold-W8,Sold-W7,Sold-W6,Sold-W5,Sold-W4,Sold-W3,Sold-W2,Sold-W1
JW-DIAM-13,Ahmedabad Showroom,112,0,0.3,45,9999,4,4,4,4,4,4,4,4
JW-DIAM-14,Mumbai Showroom,36,0,0.6,45,89999,4,4,4,5,5,3,5,5
JW-DIAM-14,Delhi Showroom,6,-20,0.1,45,89999,2,2,2,2,2,2,2,2
JW-DIAM-14,Bengaluru Showroom,24,0,0.5,20,89999,3,3,4,4,3,4,3,4
JW-DIAM-14,Hyderabad Showroom,10,0,0.5,30,89999,3,4,3,4,4,4,4,3
JW-DIAM-14,Chennai Showroom,13,0,0.4,,"Rs. 89,999",3,2,3,2,2,2,3,3
JW-DIAM-14,Kolkata Showroom,35,0,0.3,45,89999,2,2,2,2,2,3,2,2
JW-DIAM-14,Pune Showroom,17,0,0.4,45,89999,2,3,3,2,3,3,3,3
JW-DIAM-14,Ahmedabad Showroom,24,7,0.4,20,89999,3,3,3,3,2,3,3,2
JW-DIAM-15,Mumbai Showroom,24,0,0.4,20,"₹9,999",3,3,3,3,3,2,2,3
JW-DIAM-15,Delhi Showroom,18,4,0.4,20,"Rs. 9,999",2,3,3,3,3,3,3,2
JW-DIAM-15,Bengaluru Showroom,2,0,0.1,30,"9,999.00",2,2,2,2,3,2,2,2
JW-DIAM-15,Hyderabad Showroom,1,0,0.1,30,9999,2,2,2,2,2,3,2,2
JW-DIAM-15,Chennai Showroom,12,0,0.6,20,"₹9,999",5,5,4,5,5,5,5,3
JW-DIAM-15,Kolkata Showroom,53,0,0.4,45 days,"9,999.00",3,3,3,2,2,3,3,3
JW-DIAM-15,Pune Showroom, 7 ,0,0.3,20,9999,2,2,2,2,2,3,2,2
JW-DIAM-15,Ahmedabad Showroom,17,0,0.4,20,9999,2,2,3,3,3,3,3,3
JW-DIAM-16,Mumbai Showroom,3,0,0.1,20,"₹49,999",2,2,2,3,2,2,2,3
JW-DIAM-16,Delhi Showroom,14,19,0.4,45,"49,999.00",3,3,2,3,3,3,2,2
JW-DIAM-16,Bengaluru Showroom,112,5,0.2,20,"₹49,999",3,3,3,3,3,3,3,3
JW-DIAM-16,Hyderabad Showroom,4,0,,45,49999,2,2,3,2,2,2,2,2
JW-DIAM-16,Chennai Showroom,5,10,0.4,45,49999,2,3,2,2,2,2,2,3
JW-DIAM-16,Kolkata Showroom,3,0,0.1,20,"₹49,999",2,2,2,2,2,2,2,2
JW-DIAM-16,Pune Showroom,13,0,0.1,45,"₹49,999",2,2,2,2,2,2,2,3
JW-DIAM-16,Ahmedabad Showroom,36,0,0.4,45,"₹49,999",2,3,3,2,2,3,3,3
JW-DIAM-17,Mumbai Showroom,6,0,0.2,30,49999,3,2,2,3,2,2,2,2
JW-DIAM-17,Delhi Showroom,2,1,0.1,20,"₹49,999",2,2,2,2,2,2,2,2
JW-DIAM-17,Bengaluru Showroom,56,0,0.6,30,49999,4,4,5,4,5,5,3,4
JW-DIAM-17,Hyderabad Showroom,11.5,0,0.2,30,49999,2,2,2,2,2,2,2,2
JW-DIAM-17,Chennai Showroom,(9),0,0.4,20,49999,2,3,3,3,3,2,3,3
JW-DIAM-17,Kolkata Showroom,51,0,0.5,45,49999,4,3,4,3,3,4,3,4
JW-DIAM-17,Pune Showroom,7,12,0.4,30,49999,2,2,3,3,2,3,2,3
JW-DIAM-17,Ahmedabad Showroom,27,0,0.2,45,49999,3,2,2,2,2,2,2,2
JW-DIAM-18,Mumbai Showroom,9,0,0.4,20,"₹24,999",2,3,3,3,3,2,3,3
JW-DIAM-18,Delhi Showroom,28,0,0.6,20,"24,999.00",4,4,3,4,5,4,5,4
JW-DIAM-18,Bengaluru Showroom,48,0,0.5,30,"₹24,999",4,4,3,4,3,4,4,3
JW-DIAM-18,Hyderabad Showroom,35,0,0.4,45,24999,2,3,3,3,3,3,3,2
JW-DIAM-18,Chennai Showroom,39,14,0.6,20,24999,4,4,5,4,4,5,4,4
JW-DIAM-18,Kolkata Showroom,112,4,0.4,20,"24,999.00",6,6,6,6,6,6,6,6
JW-DIAM-18,Pune Showroom,32,14,0.4,30,"Rs. 24,999",3,3,2,3,3,3,2,3
JW-DIAM-18,Ahmedabad Showroom,14,0,0.3,20,"₹24,999",2,2,3,3,2,2,2,2
JW-PEAR-19,Mumbai Showroom,65,0,0.5,45,"₹49,999",3,4,3,3,3,4,3,4
JW-PEAR-19,Mumbai Showroom,65,0,0.5,45,"₹49,999",3,4,3,3,3,4,3,4
JW-PEAR-19,Delhi Showroom,24,0,0.5,20,"₹49,999",3,3,3,3,4,4,3,4
JW-PEAR-19,Bengaluru Showroom,16,0,0.3,30,N/A,2,2,2,2,2,2,2,2
JW-PEAR-19,Hyderabad Showroom,16,4,0.3,20,"Rs. 49,999",2,2,2,2,2,2,2,2
JW-PEAR-19,Chennai Showroom,22,0,0.4,20,"₹49,999",3,3,2,3,2,3,3,3
JW-PEAR-19,Kolkata Showroom,55,18,0.5,45,49999,3,3,4,4,3,3,3,3
,Pune Showroom,42,0,0.5,30,49999,3,3,3,3,3,4,4,3
JW-PEAR-19,Ahmedabad Showroom,4,11,0.6,45,49999,5,4,4,3,5,5,4,3
JW-PEAR-20,Mumbai Showroom,34,10,0.4,45,"Rs. 9,999",2,2,2,3,3,2,3,3
JW-PEAR-20,Delhi Showroom,2,4,0.2,20,"9,999.00",2,2,2,2,2,2,2,2
JW-PEAR-20,Bengaluru Showroom,43,0,0.5,45,"₹9,999",4,3,3,4,4,4,3,3
JW-PEAR-20,Hyderabad Showroom,19,3,0.2,30,9999,2,2,2,2,3,2,2,2
JW-PEAR-20,Chennai Showroom,3,0,0.3,30,"9,999.00",2,2,2,2,2,3,2,2
JW-PEAR-20,Kolkata Showroom,5,0,0.2,20,9999,2,2,2,2,2,2,2,2
JW-PEAR-20,Pune Showroom,9,0,0.3,30,9999,3,2,3,2,2,2,2,2
JW-PEAR-20,Ahmedabad Showroom,32,0,0.5,20,9999,3,4,3,3,3,3,3,4
JW-PEAR-21,Mumbai Showroom,112,1,0.1,30,"24,999.00",1,1,1,1,1,1,1,1
JW-PEAR-21,Delhi Showroom,20,11,0.4,30,"24,999.00",3,3,3,3,3,3,3,2
JW-PEAR-21,Bengaluru Showroom,5,0,0.4,30,24999,3,3,3,3,3,3,2,3
JW-PEAR-21,Hyderabad Showroom,4,0,0.1,30,24999,3,2,2,2,2,2,3,3
JW-PEAR-21,Chennai Showroom,1,5,0.4,20,24999,3,3,3,2,3,3,3,3
JW-PEAR-21,Kolkata Showroom,18,0,0.3,45,"₹24,999",2,2,2,2,2,2,2,2
JW-PEAR-21,Pune Showroom,20,0,0.5,20,24999,3,3,4,3,4,4,3,4
JW-PEAR-21,Ahmedabad Showroom,9,0,0.1,30,24999,2,3,2,2,3,2,2,2
JW-PEAR-22,Mumbai Showroom,38,0,0.3,45,9999,2,3,3,2,2,2,2,2
JW-PEAR-22,Delhi Showroom,6,0,0.5,20,9999,3,4,4,4,4,3,3,4
JW-PEAR-22,Bengaluru Showroom,47,0,0.5,45,"Rs. 9,999",3,4,3,3,3,4,4,4
JW-PEAR-22,Hyderabad Showroom,5,7,0.5,30,"Rs. 9,999",3,3,4,4,3,4,4,3
JW-PEAR-22,Chennai Showroom,16,3,0.4,20,"₹9,999",3,3,2,3,3,2,2,3
JW-PEAR-22,Kolkata Showroom,20,0,0.2,45,"₹9,999",2,2,3,3,2,2,2,2
JW-PEAR-22,Pune Showroom,14,0,0.2,30,"9,999.00",2,2,2,2,2,2,2,2
JW-PEAR-22,Ahmedabad Showroom,73,0,0.6,45,9999,4,5,5,5,5,4,4,4
JW-PEAR-23,Mumbai Showroom,3,-9,0.3,45,"Rs. 4,999",2,2,2,3,2,2,2,3
JW-PEAR-23,Delhi Showroom,25,10,0.6,20,4999,5,3,4,4,3,5,3,4
JW-PEAR-23,Bengaluru Showroom, 12 ,8,0.4,45,"Rs. 4,999",2,3,3,3,3,3,3,2
JW-PEAR-23,Hyderabad Showroom,112,0,0.5,30,"₹4,999",7,7,7,7,7,7,7,7
JW-PEAR-23,Chennai Showroom,29,6,0.2,45,4999,2,2,2,3,2,2,2,2
JW-PEAR-23,Kolkata Showroom,31,0,0.5,,"₹4,999",3,3,3,3,3,3,3,3
JW-PEAR-23,Pune Showroom,9,0,0.4,30,4999,3,3,3,3,2,3,3,2
JW-PEAR-23,Ahmedabad Showroom,7,0,0.4,20,4999,2,3,2,3,3,3,3,3
JW-PEAR-24,Mumbai Showroom,2.5,0,0.6,30,"49,999.00",5,5,5,3,4,4,5,4
JW-PEAR-24,Delhi Showroom,7,4,0.1,30,49999,2,2,2,2,2,2,2,2
JW-PEAR-24,Bengaluru Showroom,16,0,0.2,45,"₹49,999",2,2,2,2,3,2,2,3
JW-PEAR-24,Hyderabad Showroom,23,0,0.4,30,49999,3,3,2,3,3,3,3,3
JW-PEAR-24,Chennai Showroom,13,0,0.1,45,"Rs. 49,999",2,3,2,2,2,2,2,2
JW-PEAR-24,Kolkata Showroom,9,0,0.2,20,49999,2,2,2,2,2,2,2,2
JW-PEAR-24,Pune Showroom, 10 ,11,0.6,30,"₹49,999",5,4,3,4,5,4,3,4
JW-PEAR-24,Ahmedabad Showroom,7,0,0.1,30,49999,2,2,2,2,3,2,2,2
JW-KADA-25,Mumbai Showroom,14,0,0.6,20,24999,4,4,3,4,5,5,3,4
JW-KADA-25,Delhi Showroom,7,0,0.3,20,24999,3,2,2,2,2,3,2,2
JW-KADA-25,Bengaluru Showroom, 31 ,0,0.4,30,"₹24,999",3,3,3,3,3,3,3,2
JW-KADA-25,Hyderabad Showroom,6,0,0.4,30,"Rs. 24,999",3,3,2,3,3,3,3,3
JW-KADA-25,Chennai Showroom,17,0,0.4,45 days,24999,3,3,3,3,3,2,3,2
JW-KADA-25,Kolkata Showroom,74,0,0.6,45,24999,4,4,4,4,5,4,5,5
JW-KADA-25,Pune Showroom,112, 6 ,0.5,20,"₹24,999",7,7,7,7,7,7,7,7
JW-KADA-25,Ahmedabad Showroom,17,13,0.5,30,24999,4,3,4,3,3,3,3,3
JW-KADA-26,Mumbai Showroom,1,0,0.1,45,4999,2,2,3,3,2,2,2,2
JW-KADA-26,Delhi Showroom,22,0,0.5,30,"₹4,999",3,3,4,4,3,4,4,4
JW-KADA-26,Bengaluru Showroom, 0 ,1,0.1,20,4999,2,2,2,2,2,2,2,2
JW-KADA-26,Hyderabad Showroom,15,7,0.4,20,"Rs. 4,999",2,3,2,2,3,3,3,2
JW-KADA-26,Chennai Showroom,2,0,0.1,20,4999,2,2,2,2,2,2,2,2
JW-KADA-26,Kolkata Showroom,12,2,0.2,20,N/A,2,2,2,2,2,2,2,2
JW-KADA-26,Pune Showroom,4,0,,20,"₹4,999",4,4,5,5,5,5,4,5
JW-KADA-26,Ahmedabad Showroom,0,0,0.5,20,"₹4,999",4,3,3,4,3,3,3,3
JW-KADA-27,Mumbai Showroom,8, 4 ,0.4,20,"9,999.00",3,3,2,2,3,2,3,2
JW-KADA-27,Delhi Showroom,9,0,0.2,30,"9,999.00",2,3,2,2,2,2,2,2
JW-KADA-27,Bengaluru Showroom,9,0,0.2,30,"Rs. 9,999",2,2,2,2,2,2,2,2
JW-KADA-27,Hyderabad Showroom,24,0,0.5,20,"₹9,999",4,4,3,4,4,3,4,4
JW-KADA-27,Chennai Showroom,47,0,0.4,45,"₹9,999",3,3,3,3,3,3,3,3
JW-KADA-27,Kolkata Showroom,18,0,0.3,45,9999,2,2,2,2,2,2,2,2
JW-KADA-27,Pune Showroom,10,0,0.6,30,"Rs. 9,999",3,5,4,4,3,3,5,4
JW-KADA-27,Ahmedabad Showroom,6,0,0.1,20,"Rs. 9,999",2,3,2,2,2,2,2,3
JW-KADA-28,Mumbai Showroom,1,3,0.4,20,"₹9,999",2,3,3,3,3,2,2,3
JW-KADA-28,Delhi Showroom,112,0,0.2,45,"9,999.00",3,3,3,3,3,3,3,3
JW-KADA-28,Bengaluru Showroom,11,0,0.2,20,9999,3,2,2,2,2,2,2,3
JW-KADA-28,Hyderabad Showroom,16, 3 ,0.2,30,"9,999.00",2,2,2,2,2,2,2,2
JW-KADA-28,Chennai Showroom,56,0,0.6,45,"9,999.00",5,5,5,3,4,3,4,3
JW-KADA-28,Kolkata Showroom,-1,0,0.5,45,"₹9,999",4,3,3,4,4,3,4,4
JW-KADA-28,Pune Showroom,4,0,0.1,30,"Rs. 9,999",2,3,3,2,2,2,2,2
JW-KADA-28,Ahmedabad Showroom,0,0,0.3,30,"Rs. 9,999",2,2,2,2,2,2,2,2
JW-KADA-29,Mumbai Showroom,4,6,0.4,30,49999,3,3,3,2,2,3,3,2
JW-KADA-29,Delhi Showroom,5,0,0.3,30,"Rs. 49,999",2,2,2,2,2,2,2,2
JW-KADA-29,Bengaluru Showroom, 23 ,0,0.4,20,49999,2,3,3,3,3,3,3,3
JW-KADA-29,Hyderabad Showroom,12,0,0.5,30,49999,3,3,3,4,3,3,3,4
JW-KADA-29,Chennai Showroom,12,1,0.1,45,"₹49,999",2,2,3,2,2,2,2,2
JW-KADA-29,Kolkata Showroom,31,0,0.5,20,"Rs. 49,999",4,4,3,4,3,4,3,4
JW-KADA-29,Pune Showroom,25,3,0.4,20,"Rs. 49,999",3,3,3,3,3,2,3,3
JW-KADA-29,Ahmedabad Showroom,4,0,0.1,30,"Rs. 49,999",2,2,2,2,2,3,2,2
JW-KADA-30,Mumbai Showroom,2,11,0.5,30,"₹9,999",3,4,4,3,4,4,3,3
JW-KADA-30,Delhi Showroom, 6 ,13,0.5,20,"Rs. 9,999",3,3,3,4,3,3,4,3
JW-KADA-30,Bengaluru Showroom,53,14,0.4,45,"₹9,999",3,2,3,2,3,3,2,3
JW-KADA-30,Hyderabad Showroom,2,4,0.2,30,"9,999.00",2,2,2,3,2,2,2,2
JW-KADA-30,Chennai Showroom,112,3,0.2,20,"₹9,999",3,3,3,3,3,3,3,3
JW-KADA-30,Kolkata Showroom,69.5,0,0.5,45,9999,3,4,4,4,3,3,4,4
JW-KADA-30,Pune Showroom,12,0,0.3,30,9999,2,2,2,2,2,2,2,3
JW-KADA-30,Ahmedabad Showroom,13, 4 ,0.2,45,9999,3,2,2,2,2,2,2,2
JW-NOSE-31,Mumbai Showroom,5,15,0.5,30,"₹9,999",4,3,3,3,4,3,4,3
JW-NOSE-31,Delhi Showroom,9,0,0.5,45,9999,3,3,3,3,3,3,3,4
JW-NOSE-31,Delhi Showroom,9,0,0.5,45,9999,3,3,3,3,3,3,3,4
JW-NOSE-31,Bengaluru Showroom,10,0,0.5,30,"₹9,999",3,3,4,3,4,4,4,4
JW-NOSE-31,Hyderabad Showroom,3,0,0.5,20,9999,3,4,3,4,4,4,4,3
JW-NOSE-31,Chennai Showroom,45,0,0.5,30,9999,4,3,3,3,3,3,3,3
JW-NOSE-31,Kolkata Showroom,26,7,0.5,30,9999,4,4,4,4,3,4,3,3
JW-NOSE-31,Pune Showroom,0,0,0.2,45,9999,2,2,2,2,2,2,2,3
JW-NOSE-31,Ahmedabad Showroom,19,-2,0.5,20,"₹9,999",3,4,4,4,3,3,3,4
JW-NOSE-32,Mumbai Showroom,19,0,0.5,20,9999,3,3,3,3,3,3,4,3
JW-NOSE-32,Delhi Showroom,4,0,0.5,30,9999,4,3,3,4,3,3,3,4
JW-NOSE-32,Bengaluru Showroom,25,8,0.3,30,9999,2,2,2,2,2,2,2,2
,Hyderabad Showroom,15,0,0.4,20,9999,3,2,3,3,3,2,2,3
JW-NOSE-32,Chennai Showroom,7,0,0.2,20,9999,2,2,2,2,2,2,2,2
JW-NOSE-32,Kolkata Showroom, 56 ,0,0.6,45,9999,3,4,3,3,4,4,5,4
JW-NOSE-32,Pune Showroom,47,12,0.6,,"₹9,999",4,4,4,5,5,4,5,4
JW-NOSE-32,Ahmedabad Showroom,112,0,0.1,20,"9,999.00",1,1,1,1,1,1,1,1
JW-NOSE-33,Mumbai Showroom,8,0,0.1,30,"Rs. 4,999",2,3,2,2,2,2,2,2
JW-NOSE-33,Delhi Showroom,30,0,0.4,30,4999,2,2,3,3,3,3,2,3
JW-NOSE-33,Bengaluru Showroom,16, 8 ,0.4,20,"₹4,999",2,2,3,3,3,3,3,3
JW-NOSE-33,Hyderabad Showroom,2,0,0.4,20,4999,2,3,3,2,3,2,2,3
JW-NOSE-33,Chennai Showroom,4,0,0.1,30,4999,2,2,3,2,3,2,2,2
JW-NOSE-33,Kolkata Showroom,18,0,0.3,30,"Rs. 4,999",2,2,2,3,2,2,2,2
JW-NOSE-33,Pune Showroom,1,3,0.2,30,"₹4,999",2,2,2,2,2,2,3,2
JW-NOSE-33,Ahmedabad Showroom, 10 ,7,0.3,20,4999,2,2,2,2,2,3,2,2
JW-NOSE-34,Mumbai Showroom, 2 ,0,0.2,20,N/A,2,3,2,3,2,2,2,2
JW-NOSE-34,Delhi Showroom,3,0,0.2,20,"₹9,999",2,2,2,2,2,2,2,2
