item,shop,current_stock,intransit,avg_off_take_day,lt,price,Gear,bf,Units Sold Week 8,Units Sold Week 7,Units Sold Week 6,Units Sold Week 5,Units Sold Week 4,Units Sold Week 3,Units Sold Week 2,Units Sold Week 1
SP-YOGA-01,Patna,15,0,1.9,10,₹299,Yoga Mat Pro,,13,14,16,14,16,11,12,14
SP-YOGA-01,Vadodara,77,0,4.8,7,299,Yoga Mat Pro,2.0,26,38,42,27,36,33,37,40
SP-YOGA-01,Ludhiana,129,0,4.7,10,299.00,Yoga Mat Pro,,34,40,39,40,36,37,34,35
SP-YOGA-01,Agra,63,0,3.3,10,299.00,Yoga Mat Pro,,20,19,25,19,20,21,24,22
SP-YOGA-02,Mumbai,162,27,4.8,14,999,Yoga Mat Pro,2.2,38,42,28,33,33,28,38,37
SP-YOGA-02,Delhi,108,0,3.7,14,999,Yoga Mat Pro,2.2,23,27,32,24,20,28,26,24
SP-YOGA-02,Bengaluru,6,0,0.6,7,999,Yoga Mat Pro,2.0,4,3,4,4,5,3,5,5
SP-YOGA-02,Hyderabad,46,13,2.5,7,999,Yoga Mat Pro,,14,14,20,19,19,14,17,21
SP-YOGA-02,Chennai,49,0,3.9,14,₹999,Yoga Mat Pro,,10,49,5,10,49,5,5,5
SP-YOGA-02,Kolkata,26.5,0,3.4,14,₹999,Yoga Mat Pro,2.2,22,24,27,19,26,29,21,23
SP-YOGA-02,Pune,74,51,4.4,14,999.00,Yoga Mat Pro,,32,24,28,30,32,26,33,29
SP-YOGA-02,Ahmedabad,28,0,1.0,10,999,Yoga Mat Pro,,6,6,8,8,9,6,6,7
SP-YOGA-02,Jaipur,61,0,5.6,10,N/A,Yoga Mat Pro,,40,41,43,33,46,42,44,46
SP-YOGA-02,Lucknow,38,0,1.8,10,999,Yoga Mat Pro,2.0,15,12,11,12,11,10,10,12
SP-YOGA-02,Surat, 6 ,0,0.7,10,999,Yoga Mat Pro,,4,5,6,4,4,6,5,4
SP-YOGA-02,Indore,2,0,1.6,14,999,Yoga Mat Pro,2.2,12,11,12,10,9,12,12,9
SP-YOGA-02,Nagpur,8,0,1.5,10,999,Yoga Mat Pro,,9,12,8,12,8,11,10,11
SP-YOGA-02,Kochi,139,76,5.5,10,₹999,Yoga Mat Pro,2.0,41,35,45,41,44,41,41,46
SP-YOGA-02,Chandigarh,35,-11,2.0,7,Rs. 999,Yoga Mat Pro,,17,16,13,16,17,16,14,11
SP-YOGA-02,Bhopal,53,17,1.5,,Rs. 999,Yoga Mat Pro,2.0,8,9,10,9,11,13,12,9
SP-YOGA-02,Patna,86,0,5.3,7,999,Yoga Mat Pro,,43,42,43,39,36,45,39,44
SP-YOGA-02,Vadodara,69,0,3.1,10,Rs. 999,Yoga Mat Pro,,17,19,26,20,18,20,22,19
SP-YOGA-02,Ludhiana,23,64,5.2,14 days,₹999,Yoga Mat Pro,2.2,32,40,45,29,43,44,41,35
SP-YOGA-02,Agra,95,0,5.0,10,999,Yoga Mat Pro,,39,39,29,27,30,40,29,38
SP-YOGA-03,Mumbai,18,0,,14,"₹1,899",Yoga Mat Pro,,34,34,23,25,35,25,34,26
SP-YOGA-03,Delhi,43,0,4.0,14,1899,Yoga Mat Pro,,50,5,50,5,11,50,11,61
SP-YOGA-03,Bengaluru,54,0,3.3,10,1899,Yoga Mat Pro,,21,26,25,27,19,28,22,28
SP-YOGA-03,Hyderabad,-7,0,3.9,14,"₹1,899",Yoga Mat Pro,2.0,32,21,31,32,29,26,33,21
SP-YOGA-03,Chennai,158,0,5.3,10,"₹1,899",Yoga Mat Pro,,46,37,33,37,34,38,39,32
SP-YOGA-03,Kolkata,148,0,5.8,14,"₹1,899",Yoga Mat Pro,,37,40,47,46,37,31,37,31
SP-YOGA-03,Pune,172,0,5.4,10,1899,Yoga Mat Pro,,37,33,42,29,33,38,32,39
SP-YOGA-03,Ahmedabad,72,38,4.9,7,"1,899.00",Yoga Mat Pro,,36,28,42,28,35,32,35,30
SP-YOGA-03,Ahmedabad,72,38,4.9,7,"1,899.00",Yoga Mat Pro,,36,28,42,28,35,32,35,30
SP-YOGA-03,Jaipur,18,0,0.9,14,"1,899.00",Yoga Mat Pro,2.2,8,8,5,8,6,7,6,7
,Lucknow,82,0,5.0,14,"₹1,899",Yoga Mat Pro,2.2,42,29,35,34,28,39,28,35
SP-YOGA-03,Surat,73,0,3.9,10,1899,Yoga Mat Pro,,22,30,31,30,25,33,33,23
SP-YOGA-03,Indore,34,0,5.1,10,"Rs. 1,899",Yoga Mat Pro,2.2,35,30,42,31,39,29,40,43
SP-YOGA-03,Nagpur,95,0,4.2,10,"₹1,899",Yoga Mat Pro,,29,32,34,23,32,35,31,23
SP-YOGA-03,Kochi,48,0,3.6,10,1899,Yoga Mat Pro,,23,31,23,27,29,21,23,21
SP-YOGA-03,Chandigarh,9,4,0.5,10,1899,Yoga Mat Pro,,4,3,4,4,3,4,3,4
SP-YOGA-03,Bhopal,30,0,2.0,10,1899,Yoga Mat Pro,,16,13,12,16,12,16,13,12
SP-YOGA-03,Patna,6,0,0.5,10,"₹1,899",Yoga Mat Pro,2.0,3,3,3,4,4,4,4,4
SP-YOGA-03,Vadodara,92,0,3.7,10,1899,Yoga Mat Pro,,26,22,27,31,20,27,26,26
SP-YOGA-03,Ludhiana,34,0,0.9,14,1899,Yoga Mat Pro,,13,13,11,2,11,2,13,13
SP-YOGA-03,Agra, 90 ,0,4.7,14,"₹1,899",Yoga Mat Pro,2.2,27,34,31,28,33,35,36,37
SP-YOGA-04,Mumbai,88,0,5.4,7,599,Yoga Mat Pro,,47,41,41,39,32,31,38,34
SP-YOGA-04,Delhi,19,0,0.8,10,599,Yoga Mat Pro,2.2,6,6,6,6,4,7,6,5
SP-YOGA-04,Bengaluru,48,0,4.8,10,₹599,Yoga Mat Pro,,37,31,25,34,35,39,26,28
SP-YOGA-04,Hyderabad,28,0,2.6,10,Rs. 599,Yoga Mat Pro,2.0,17,22,15,17,14,20,14,14
SP-YOGA-04,Chennai,31,0,1.4,7,599,Yoga Mat Pro,2.2,11,9,10,8,12,10,10,10
SP-YOGA-04,Kolkata,6,23,3.3,14,599,Yoga Mat Pro,,24,25,28,25,27,19,23,22
SP-YOGA-04,Pune,13,0,3.8,10,599.00,Yoga Mat Pro,2.0,29,21,29,33,25,22,22,21
SP-YOGA-04,Ahmedabad,20,0,0.7,14,₹599,Yoga Mat Pro,,5,4,5,5,4,5,5,5
SP-YOGA-04,Jaipur,13,0,4.4,10,Rs. 599,Yoga Mat Pro,2.2,38,29,37,35,37,34,34,27
SP-YOGA-04,Lucknow,130,45,5.7,10,599,Yoga Mat Pro,,37,39,40,32,33,33,36,38
SP-YOGA-04,Surat,26,10,1.4,7,₹599,Yoga Mat Pro,,10,12,9,12,10,11,11,7
SP-YOGA-04,Indore,22,0,2.8,10,₹599,Yoga Mat Pro,,20,24,24,20,18,18,21,21
SP-YOGA-04,Nagpur,137,0,4.5,10,599,Yoga Mat Pro,2.0,31,32,34,25,35,26,27,29
SP-YOGA-04,Kochi,32,0,4.1,14,599,Yoga Mat Pro,,29,32,34,34,35,34,27,28
SP-YOGA-04,Chandigarh,16,0,0.8,14,599,Yoga Mat Pro,,4,5,4,6,5,7,4,5
SP-YOGA-04,Bhopal,90,0,3.9,7,599,Yoga Mat Pro,2.0,49,5,5,60,10,49,49,60
SP-YOGA-04,Patna,209,0,4.5,14,599.00,Yoga Mat Pro,2.2,28,28,27,27,30,30,30,35
SP-YOGA-04,Vadodara,30,0,2.7,14,599,Yoga Mat Pro,,19,20,20,21,20,19,20,19
SP-YOGA-04,Ludhiana,5.5,0,2.7,14,599,Yoga Mat Pro,2.2,18,19,17,14,16,19,23,21
SP-YOGA-04,Agra,22,36,2.8,10,599,Yoga Mat Pro,2.2,23,21,16,15,20,22,19,20
SP-YOGA-05,Mumbai, 96 ,33,3.4,14,1899,Yoga Mat Pro,2.2,20,20,22,25,26,23,20,23
SP-YOGA-05,Delhi,48,0,3.5,7,1899,Yoga Mat Pro,2.2,23,25,21,29,29,30,24,22
SP-YOGA-05,Bengaluru,99,0,2.2,14,"₹1,899",Yoga Mat Pro,2.2,14,12,18,12,13,15,15,16
SP-YOGA-05,Hyderabad,22,0,1.7,14,"₹1,899",Yoga Mat Pro,,10,10,14,13,13,12,11,11
SP-YOGA-05,Chennai,88,0,5.0,14,"1,899.00",Yoga Mat Pro,,41,38,42,37,41,29,39,39
SP-YOGA-05,Kolkata,111,0,4.7,7,1899,Yoga Mat Pro,2.2,30,25,41,27,39,37,35,25
SP-YOGA-05,Pune,70,0,3.5,10,1899,Yoga Mat Pro,,29,25,25,20,25,25,22,21
SP-YOGA-05,Ahmedabad, 19 ,0,1.1,14,N/A,Yoga Mat Pro,,9,9,7,8,8,8,7,7
SP-YOGA-05,Jaipur,57,19,2.6,10,"₹1,899",Yoga Mat Pro,2.2,15,19,15,18,16,15,18,18
SP-YOGA-05,Lucknow,38,0,3.7,10,1899,Yoga Mat Pro,,21,28,32,25,21,29,30,21
SP-YOGA-05,Surat,100,34,3.3,10,"₹1,899",Yoga Mat Pro,,26,26,24,19,19,19,24,20
SP-YOGA-05,Indore,68,0,2.2,14,"1,899.00",Yoga Mat Pro,,12,17,17,14,14,14,12,12
SP-YOGA-05,Nagpur,21,0,2.3,14,1899,Yoga Mat Pro,,3,3,3,6,35,6,28,6
SP-YOGA-05,Kochi,155,0,3.4,14,1899,Yoga Mat Pro,,29,29,30,19,28,27,24,20
SP-YOGA-05,Chandigarh,82,13,3.0,10,1899,Yoga Mat Pro,,26,24,24,24,20,20,22,23
SP-YOGA-05,Bhopal,15,0,1.1,14,1899,Yoga Mat Pro,,7,10,6,6,7,9,8,7
SP-YOGA-05,Patna,15,0,0.7,14,1899,Yoga Mat Pro,2.0,5,6,5,5,4,5,4,5
SP-YOGA-05,Vadodara,44,0,1.7,10,1899,Yoga Mat Pro,,11,13,9,13,10,15,14,14
SP-YOGA-05,Ludhiana,118,0,3.1,14,"Rs. 1,899",Yoga Mat Pro,,25,22,18,20,22,18,26,20
SP-YOGA-05,Agra,36,0,2.7,14,1899,Yoga Mat Pro,,23,16,17,17,21,16,16,19
SP-YOGA-06,Mumbai,149,0,4.6,14,Rs. 999,Yoga Mat Pro,,38,34,25,34,31,31,36,25
SP-YOGA-06,Delhi,7,0,0.9,10,Rs. 999,Yoga Mat Pro,,5,6,6,7,6,7,7,5
SP-YOGA-06,Bengaluru,160,0,5.0,14,999,Yoga Mat Pro,2.2,34,36,39,29,36,43,36,36
SP-YOGA-06,Hyderabad,52,0,2.9,7,Rs. 999,Yoga Mat Pro,2.0,20,15,24,21,18,18,24,25
SP-YOGA-06,Chennai,4,42,3.0,14,999,Yoga Mat Pro,,25,26,21,26,25,25,17,19
SP-YOGA-06,Kolkata,25,-6,0.6,14,999,Yoga Mat Pro,,5,3,5,5,4,4,5,4
SP-YOGA-06,Pune,19,0,0.5,14,₹999,Yoga Mat Pro,,3,3,4,4,4,3,3,3
SP-YOGA-06,Ahmedabad,19,40,3.9,10,₹999,Yoga Mat Pro,,21,28,27,30,24,28,24,33
SP-YOGA-06,Jaipur,136,0,5.0,,₹999,Yoga Mat Pro,,27,34,36,28,32,40,37,36
SP-YOGA-06,Lucknow,102,22,4.7,7,Rs. 999,Yoga Mat Pro,,72,13,6,6,59,72,59,6
SP-YOGA-06,Surat,36,13,1.8,14,999,Yoga Mat Pro,,11,10,13,10,14,12,12,15
SP-YOGA-06,Indore,70,0,3.3,7,₹999,Yoga Mat Pro,2.0,28,26,20,26,29,19,19,21
SP-YOGA-06,Nagpur,78,0,3.5,7,₹999,Yoga Mat Pro,,23,28,20,29,20,19,21,29
SP-YOGA-06,Kochi, 92 ,0,3.5,10,999,Yoga Mat Pro,2.2,27,26,23,23,27,21,24,24
SP-YOGA-06,Chandigarh,16,0,1.7,10,999,Yoga Mat Pro,2.2,12,15,13,13,11,9,10,14
SP-YOGA-06,Bhopal,26,12,1.7,10,₹999,Yoga Mat Pro,,10,11,15,11,13,9,12,12
SP-YOGA-06,Patna,66, 26 ,3.9,7,999,Yoga Mat Pro,2.2,29,28,22,32,28,31,27,32
SP-YOGA-06,Vadodara,50,0,2.6,14 days,999,Yoga Mat Pro,2.2,20,23,15,17,15,19,21,20
SP-YOGA-06,Ludhiana,132,0,3.8,14,999,Yoga Mat Pro,,22,29,22,24,23,21,32,25
SP-YOGA-06,Agra,22,0,2.7,7,999.00,Yoga Mat Pro,2.2,23,18,16,17,17,16,19,17
SP-YOGA-07,Mumbai,21,0,1.7,10,₹999,Yoga Mat Pro,2.2,11,12,9,13,13,15,13,14
SP-YOGA-07,Delhi,47,0,1.3,14,999.00,Yoga Mat Pro,,11,7,10,7,7,10,9,10
SP-YOGA-07,Bengaluru,8, 15 ,0.9,14,999.00,Yoga Mat Pro,,5,7,7,7,6,6,6,5
SP-YOGA-07,Hyderabad,75,0,,7,999,Yoga Mat Pro,2.0,41,47,36,34,41,29,30,31
SP-YOGA-07,Chennai,0,3,0.7,10,999.00,Yoga Mat Pro,2.0,4,5,5,4,5,5,5,4
SP-YOGA-07,Kolkata,41,0,2.0,7,₹999,Yoga Mat Pro,2.2,13,15,11,12,13,13,13,14
SP-YOGA-07,Pune,36,0,5.3,7,999,Yoga Mat Pro,2.2,66,81,14,7,81,81,14,7
SP-YOGA-07,Ahmedabad,31,0,4.5,10,Rs. 999,Yoga Mat Pro,,24,39,36,35,29,34,29,25
SP-YOGA-07,Jaipur,127,36,5.4,14,₹999,Yoga Mat Pro,,32,35,31,32,47,31,32,31
SP-YOGA-07,Lucknow,57,0,3.9,10,Rs. 999,Yoga Mat Pro,,33,30,24,22,30,22,33,26
SP-YOGA-07,Surat,48,0,5.1,7,999,Yoga Mat Pro,2.0,33,43,41,34,44,43,36,28
SP-YOGA-07,Indore,231.5,0,5.2,14,999.00,Yoga Mat Pro,,39,45,43,44,32,44,41,40
SP-YOGA-07,Nagpur,-3,0,5.7,10,999,Yoga Mat Pro,,49,45,42,32,37,47,39,40
SP-YOGA-07,Kochi,5,35,2.8,14,₹999,Yoga Mat Pro,,19,24,24,18,16,24,22,23
SP-YOGA-07,Chandigarh,41,19,1.9,10,₹999,Yoga Mat Pro,2.2,14,11,13,14,12,14,14,13
SP-YOGA-07,Bhopal,136,0,5.5,10,999,Yoga Mat Pro,2.0,31,46,43,29,41,30,29,42
SP-YOGA-07,Patna,29,0,4.5,10,₹999,Yoga Mat Pro,2.2,36,31,30,38,25,29,25,37
SP-YOGA-07,Vadodara,20,50,2.6,14,₹999,Yoga Mat Pro,,17,21,15,15,22,22,23,18
SP-YOGA-07,Ludhiana,94,32,5.7,14,Rs. 999,Yoga Mat Pro,,30,36,37,40,42,34,32,40
SP-YOGA-07,Agra, 36 ,0,2.1,7,999,Yoga Mat Pro,,17,13,18,16,16,12,15,15
SP-YOGA-08,Mumbai,17,0,3.3,14,"₹3,499",Yoga Mat Pro,2.2,28,28,22,23,21,26,25,27
SP-YOGA-08,Delhi, 32 ,6,1.0,10,"₹3,499",Yoga Mat Pro,2.0,8,6,6,6,7,8,6,7
SP-YOGA-08,Bengaluru,33,0,1.6,10,"3,499.00",Yoga Mat Pro,,11,13,13,10,11,12,12,14
SP-YOGA-08,Hyderabad,100,0,5.5,10,"₹3,499",Yoga Mat Pro,2.2,69,84,7,84,69,69,84,7
SP-YOGA-08,Chennai,4,0,2.0,10,3499,Yoga Mat Pro,2.0,17,14,15,15,11,16,14,14
SP-YOGA-08,Chennai,4,0,2.0,10,3499,Yoga Mat Pro,2.0,17,14,15,15,11,16,14,14
SP-YOGA-08,Kolkata,24,9,1.3,7,3499,Yoga Mat Pro,,10,11,8,9,7,11,10,11
SP-YOGA-08,Pune,34,0,2.0,10,N/A,Yoga Mat Pro,,15,12,16,12,15,11,11,17
SP-YOGA-08,Ahmedabad,10,0,2.1,14,3499,Yoga Mat Pro,,13,15,18,15,18,13,13,13
SP-YOGA-08,Jaipur,131,0,3.0,14,"₹3,499",Yoga Mat Pro,2.2,22,21,19,22,19,22,26,22
SP-YOGA-08,Lucknow, 58 ,0,1.3,14,"3,499.00",Yoga Mat Pro,2.0,8,8,11,10,11,8,8,8
,Surat,16,6,0.7,7,"Rs. 3,499",Yoga Mat Pro,,6,6,5,5,5,4,4,6
SP-YOGA-08,Indore,1,0,0.9,7,3499,Yoga Mat Pro,2.0,5,8,7,5,6,7,6,8
SP-YOGA-08,Nagpur, 166 ,0,5.5,10,"₹3,499",Yoga Mat Pro,,47,39,40,44,33,36,35,42
SP-YOGA-08,Kochi,61,0,3.2,7,3499,Yoga Mat Pro,,20,18,26,25,19,26,20,24
SP-YOGA-08,Chandigarh,3,20,3.2,7,3499,Yoga Mat Pro,,18,19,26,27,25,18,23,18
SP-YOGA-08,Bhopal,4,0,0.7,7,"Rs. 3,499",Yoga Mat Pro,,4,5,4,6,5,5,4,5
SP-YOGA-08,Patna,81,0,5.9,7,"₹3,499",Yoga Mat Pro,2.2,46,46,41,42,45,46,48,38
SP-YOGA-08,Vadodara,60,0,1.7,14,"₹3,499",Yoga Mat Pro,,9,11,13,14,13,9,12,14
SP-YOGA-08,Ludhiana, 110 , 40 ,3.9,14,"3,499.00",Yoga Mat Pro,,32,27,32,31,31,27,25,22
SP-YOGA-08,Agra,154,0,3.8,14,3499,Yoga Mat Pro,,25,29,31,32,25,31,21,30
SP-YOGA-09,Mumbai,0,0,1.2,14,Rs. 299,Yoga Mat Pro,,1,18,3,15,3,18,3,15
SP-YOGA-09,Delhi,19,0,4.5,7,299,Yoga Mat Pro,,24,24,38,28,37,26,38,39
SP-YOGA-09,Bengaluru,3,6,0.5,14,299,Yoga Mat Pro,,4,4,3,3,4,3,4,3
SP-YOGA-09,Hyderabad,64,0,4.9,14,Rs. 299,Yoga Mat Pro,2.0,38,27,31,34,36,30,36,28
SP-YOGA-09,Chennai,1,0,5.6,10,299,Yoga Mat Pro,,30,42,43,42,33,44,48,32
SP-YOGA-09,Kolkata,42,0,1.8,10,299,Yoga Mat Pro,,12,12,12,11,11,13,16,12
SP-YOGA-09,Pune,16,0,0.7,7,299,Yoga Mat Pro,,5,5,4,5,6,6,5,4
SP-YOGA-09,Ahmedabad,179,0,5.6,10,299.00,Yoga Mat Pro,,43,35,39,44,41,46,45,44
SP-YOGA-09,Jaipur,10,6,0.8,7,₹299,Yoga Mat Pro,,5,5,5,6,5,5,7,7
SP-YOGA-09,Lucknow,28,0,4.3,10,Rs. 299,Yoga Mat Pro,2.2,32,31,37,24,35,30,26,34
SP-YOGA-09,Surat,20,0,2.2,10,299,Yoga Mat Pro,,18,17,19,18,12,16,15,13
SP-YOGA-09,Indore,27,0,0.8,10,Rs. 299,Yoga Mat Pro,2.2,6,6,5,5,5,5,4,7
SP-YOGA-09,Nagpur,47,0,1.0,14,Rs. 299,Yoga Mat Pro,,6,6,9,6,6,8,6,6
SP-YOGA-09,Kochi,28,0,2.2,14,299,Yoga Mat Pro,,15,13,13,15,17,17,17,17
SP-YOGA-09,Chandigarh,37,21,2.5,10,299,Yoga Mat Pro,2.2,21,14,15,19,16,18,16,18
SP-YOGA-09,Bhopal,17,0,3.5,10,₹299,Yoga Mat Pro,,20,25,24,24,18,29,26,25
SP-YOGA-09,Patna,180,-12,4.7,14,299,Yoga Mat Pro,,41,39,26,40,27,30,30,32
SP-YOGA-09,Vadodara,46,30,3.1,10,299.00,Yoga Mat Pro,,39,39,4,8,4,39,8,8
SP-YOGA-09,Ludhiana,33,0,1.6,7,299,Yoga Mat Pro,,12,9,12,10,14,11,9,13
SP-YOGA-09,Agra,29,0,1.1,14,299,Yoga Mat Pro,2.0,6,8,9,8,6,6,8,9
SP-YOGA-10,Mumbai,4,0,0.5,7,"1,899.00",Yoga Mat Pro,,3,3,3,4,4,4,4,3
SP-YOGA-10,Delhi,88,33,4.3,,"₹1,899",Yoga Mat Pro,2.0,23,33,27,26,29,30,31,32
SP-YOGA-10,Bengaluru,98,0,4.7,7,"Rs. 1,899",Yoga Mat Pro,2.2,34,33,39,32,33,35,39,33
SP-YOGA-10,Hyderabad,2,17,2.1,7,"₹1,899",Yoga Mat Pro,2.0,11,16,12,11,15,12,16,16
SP-YOGA-10,Chennai,23.5,0,3.5,10,1899,Yoga Mat Pro,,26,29,21,30,21,26,30,24
SP-YOGA-10,Kolkata,48,0,5.7,7,"Rs. 1,899",Yoga Mat Pro,2.2,40,41,37,34,45,50,33,40
SP-YOGA-10,Pune,163,0,4.5,14,1899,Yoga Mat Pro,,32,31,34,25,24,34,35,27
SP-YOGA-10,Ahmedabad,110,52,5.2,10,"1,899.00",Yoga Mat Pro,2.2,39,29,39,40,32,31,28,31
SP-YOGA-10,Jaipur,27,17,3.6,7,"₹1,899",Yoga Mat Pro,2.0,19,28,26,27,29,22,26,29
SP-YOGA-10,Lucknow,156,0,3.6,14,1899,Yoga Mat Pro,2.0,29,25,21,24,22,28,22,25
SP-YOGA-10,Surat,53,0,2.5,10,1899,Yoga Mat Pro,,15,17,20,19,17,15,20,14
SP-YOGA-10,Indore,19,0,2.2,14,"₹1,899",Yoga Mat Pro,2.2,18,17,18,17,12,16,13,18
SP-YOGA-10,Nagpur,23,0,5.4,14,1899,Yoga Mat Pro,,30,41,35,31,40,35,45,33
SP-YOGA-10,Kochi, 77 ,0,3.3,7,1899,Yoga Mat Pro,2.2,28,25,23,20,18,17,27,25
SP-YOGA-10,Chandigarh,1,0,0.5,10,"₹1,899",Yoga Mat Pro,,7,7,7,7,7,1,6,0
SP-YOGA-10,Bhopal,41,0,4.3,10,1899,Yoga Mat Pro,,34,25,30,34,27,32,23,23
SP-YOGA-10,Patna,89,33,4.5,14 days,"₹1,899",Yoga Mat Pro,,26,34,32,33,39,30,34,32
SP-YOGA-10,Vadodara, 11 ,0,1.7,7,"₹1,899",Yoga Mat Pro,2.2,13,11,12,11,11,14,11,12
SP-YOGA-10,Ludhiana,106,61,5.2,10,"Rs. 1,899",Yoga Mat Pro,2.0,37,27,45,40,28,29,42,37
SP-YOGA-10,Agra,120,0,5.2,14,"Rs. 1,899",Yoga Mat Pro,,37,35,43,36,32,32,32,37
SP-DUMB-11,Mumbai,13,0,4.4,7,Rs. 599,Dumbbell 5kg,2.2,28,33,33,36,29,29,31,34
SP-DUMB-11,Delhi,14,4,0.7,10,599,Dumbbell 5kg,2.2,4,6,4,4,4,5,5,5
SP-DUMB-11,Bengaluru,13,0,0.6,10,Rs. 599,Dumbbell 5kg,,5,4,4,3,4,4,4,4
SP-DUMB-11,Hyderabad,54,0,2.3,10,599.00,Dumbbell 5kg,,16,15,15,15,12,15,14,13
SP-DUMB-11,Chennai,2,0,5.8,10,Rs. 599,Dumbbell 5kg,,46,44,36,46,43,38,34,31
SP-DUMB-11,Kolkata,43,0,2.0,14,N/A,Dumbbell 5kg,2.2,13,11,14,15,14,12,14,12
SP-DUMB-11,Pune,14,0,,7,599.00,Dumbbell 5kg,,9,6,8,8,8,8,9,9
SP-DUMB-11,Ahmedabad,0,0,1.3,10,₹599,Dumbbell 5kg,,9,9,7,9,9,10,10,10
SP-DUMB-11,Jaipur,67,0,5.8,7,599,Dumbbell 5kg,2.2,38,33,36,39,35,46,46,48
SP-DUMB-11,Lucknow,86,0,5.9,7,₹599,Dumbbell 5kg,2.2,46,33,33,51,43,52,40,32
SP-DUMB-11,Surat,92,36,5.9,7,Rs. 599,Dumbbell 5kg,,38,31,33,51,34,31,46,51
SP-DUMB-11,Indore,35,0,4.1,7,599.00,Dumbbell 5kg,,51,51,63,63,63,5,5,11
SP-DUMB-11,Nagpur, 39 ,0,2.4,7,599,Dumbbell 5kg,,21,15,17,16,20,15,13,20
SP-DUMB-11,Kochi,29,0,3.3,10,Rs. 599,Dumbbell 5kg,,25,25,26,24,20,21,18,22
SP-DUMB-11,Chandigarh,10,0,2.0,14,599.00,Dumbbell 5kg,,13,11,12,17,17,11,13,16
SP-DUMB-11,Bhopal,39,0,2.8,7,599.00,Dumbbell 5kg,2.0,16,24,22,17,24,22,19,17
SP-DUMB-11,Patna,30,0,5.6,10,₹599,Dumbbell 5kg,,41,32,33,48,34,48,47,33
SP-DUMB-11,Vadodara,92,0,4.8,10,599,Dumbbell 5kg,2.0,29,33,29,25,38,35,39,33
SP-DUMB-11,Ludhiana,20,0,3.5,7,599,Dumbbell 5kg,,26,21,30,21,27,23,28,19
SP-DUMB-11,Agra,68,0,2.7,10,599,Dumbbell 5kg,,19,16,16,15,23,15,17,18
SP-DUMB-12,Mumbai,39,0,1.7,14,"Rs. 1,899",Dumbbell 5kg,2.2,15,12,13,14,11,10,11,12
SP-DUMB-12,Delhi,-8,13,2.7,7,1899,Dumbbell 5kg,2.2,17,22,22,16,21,17,18,19
SP-DUMB-12,Bengaluru,13,0,4.2,10,1899,Dumbbell 5kg,2.0,23,28,24,32,33,30,33,24
SP-DUMB-12,Hyderabad,14,0,3.0,7,1899,Dumbbell 5kg,2.0,18,21,22,19,25,16,23,16
SP-DUMB-12,Chennai, 91 ,0,2.9,10,"1,899.00",Dumbbell 5kg,2.2,21,25,25,19,24,22,16,23
SP-DUMB-12,Kolkata,6,3,0.4,14,1899,Dumbbell 5kg,,3,2,3,3,3,3,2,3
SP-DUMB-12,Pune,51,39,5.0,7,"₹1,899",Dumbbell 5kg,,28,35,41,34,38,31,31,27
SP-DUMB-12,Ahmedabad,16,0,3.0,10,1899,Dumbbell 5kg,2.2,20,18,21,18,22,20,21,18
SP-DUMB-12,Jaipur, 51 ,0,2.4,14,1899,Dumbbell 5kg,2.2,6,36,3,36,30,3,36,6
